# synthetic, for demo only -- 400 cells x 132 genes, Poisson counts
# 12 TF programs x 8 targets + 24 unlinked genes; truth in ground_truth_edges.csv
cell,TF01,G001,G002,G003,G004,G005,G006,G007,G008,TF02,G009,G010,G011,G012,G013,G014,G015,G016,TF03,G017,G018,G019,G020,G021,G022,G023,G024,TF04,G025,G026,G027,G028,G029,G030,G031,G032,TF05,G033,G034,G035,G036,G037,G038,G039,G040,TF06,G041,G042,G043,G044,G045,G046,G047,G048,TF07,G049,G050,G051,G052,G053,G054,G055,G056,TF08,G057,G058,G059,G060,G061,G062,G063,G064,TF09,G065,G066,G067,G068,G069,G070,G071,G072,TF10,G073,G074,G075,G076,G077,G078,G079,G080,TF11,G081,G082,G083,G084,G085,G086,G087,G088,TF12,G089,G090,G091,G092,G093,G094,G095,G096,U001,U002,U003,U004,U005,U006,U007,U008,U009,U010,U011,U012,U013,U014,U015,U016,U017,U018,U019,U020,U021,U022,U023,U024
Cell0149,10,8,3,6,1,10,15,6,6,4,2,7,5,2,0,3,1,3,0,4,1,4,7,2,0,1,3,7,9,3,5,13,14,6,16,0,24,18,12,23,8,37,17,3,2,2,11,3,1,1,11,13,3,14,2,7,7,2,9,2,10,10,3,5,1,10,2,1,9,7,3,9,9,6,1,5,3,18,1,14,14,2,4,5,3,2,2,5,2,5,5,6,3,4,3,2,9,5,1,7,1,9,14,9,4,3,11,4,5,4,1,9,4,8,6,1,5,1,1,1,8,26,1,1,0,12,7,1,2,7,0,3
Cell0150,4,5,2,4,4,10,11,6,5,5,3,3,3,1,3,1,4,5,2,4,5,2,3,3,3,4,6,5,7,2,3,2,7,0,3,7,4,4,3,5,2,8,3,17,4,16,2,15,18,7,5,4,8,7,2,10,4,4,3,8,8,9,2,8,4,2,6,2,8,7,3,9,2,1,12,1,1,1,8,1,5,4,5,7,1,6,2,8,5,7,3,4,5,2,5,0,6,2,1,0,5,6,3,4,2,2,5,5,6,3,2,14,8,15,2,0,0,2,6,2,6,1,5,6,1,3,1,3,5,7,2,1
Cell0151,9,4,4,5,2,7,12,16,7,10,6,3,5,2,1,3,3,2,3,1,1,4,1,2,1,4,6,1,1,2,0,1,2,0,5,9,2,1,4,6,0,2,3,16,5,7,4,1,4,3,3,4,5,5,6,10,4,4,5,9,10,10,5,5,1,6,0,0,2,7,3,7,6,2,6,8,5,10,6,3,2,2,14,3,3,3,1,13,2,5,3,5,4,3,3,1,11,6,0,3,6,8,6,6,1,3,11,3,6,1,5,15,0,37,2,2,3,3,6,1,7,7,4,6,3,10,14,0,9,9,3,5
Cell0152,2,1,9,2,7,6,2,4,1,11,1,9,4,6,3,3,1,4,2,3,5,8,8,2,6,2,8,2,3,1,1,7,2,1,4,3,4,3,3,9,2,10,4,7,4,7,7,2,2,5,6,8,2,7,1,8,1,0,11,5,8,4,2,12,6,6,6,1,5,13,4,16,9,2,4,3,6,9,5,1,4,5,13,1,6,2,4,10,5,5,4,3,4,4,5,5,12,3,0,3,3,5,8,4,3,3,11,8,2,6,1,8,2,8,6,0,8,1,9,4,8,2,2,3,7,5,3,3,3,11,2,2
Cell0153,7,9,4,2,0,7,12,2,7,9,4,5,6,4,2,4,2,7,2,5,3,4,7,1,3,3,4,1,1,2,2,5,6,0,4,2,6,5,4,9,4,7,6,7,5,5,8,2,3,1,5,11,1,12,0,8,0,2,13,7,7,7,3,5,5,4,3,1,6,10,2,7,9,6,4,7,2,6,1,2,7,3,6,3,5,9,0,7,3,10,4,7,1,1,9,2,5,3,0,6,2,9,17,11,2,7,7,1,7,2,1,8,19,4,1,2,1,2,14,2,5,1,4,2,5,5,7,4,7,5,5,5
Cell0154,1,2,6,1,10,4,3,0,2,7,4,4,7,1,0,5,2,5,7,8,6,8,4,11,5,4,17,1,3,0,1,2,1,0,6,10,5,2,6,7,2,9,6,10,13,4,5,0,5,4,5,6,2,7,0,6,3,1,7,6,4,4,3,15,5,1,7,2,10,15,4,14,7,0,2,2,2,10,0,2,7,6,18,1,5,3,5,13,1,3,5,8,3,2,5,4,9,3,2,2,6,7,7,4,2,4,7,7,2,3,4,6,0,13,1,4,6,2,4,1,2,3,3,2,8,14,5,5,8,5,4,1
Cell0155,0,6,14,3,2,5,9,5,0,20,6,4,5,2,4,12,1,6,2,7,0,7,10,4,1,6,5,3,7,4,0,4,3,1,6,0,4,5,3,10,6,12,7,9,7,9,6,6,5,3,3,3,1,5,12,22,2,0,2,0,16,11,4,22,4,4,3,9,10,15,4,25,6,3,10,3,4,4,4,3,6,2,3,11,2,3,2,5,2,10,4,4,2,2,0,1,7,3,0,2,5,4,5,5,3,0,3,9,7,1,5,5,4,7,7,2,6,2,4,5,9,5,1,7,6,4,6,2,9,7,3,4
Cell0156,5,3,7,0,3,8,17,6,6,20,11,11,3,11,10,11,5,6,1,3,0,5,10,5,0,1,2,3,8,3,7,7,1,1,12,3,1,0,3,3,0,1,1,23,23,6,7,6,8,6,2,5,2,6,1,7,0,8,12,10,3,5,2,2,2,7,3,0,3,4,3,5,5,1,5,3,1,2,4,1,4,3,12,4,2,3,1,6,3,7,2,4,7,3,1,2,5,3,2,1,4,7,1,1,2,2,1,3,4,3,2,18,2,5,5,4,4,7,8,1,5,10,4,6,4,4,6,8,6,8,4,2
Cell0157,5,2,3,5,1,8,8,8,5,9,5,2,4,1,5,4,2,5,3,5,4,8,2,5,2,8,13,3,3,3,1,8,7,3,4,3,3,6,6,10,2,8,3,6,5,9,4,8,12,9,1,5,4,2,1,9,5,3,6,8,7,8,3,9,6,2,5,1,8,9,1,10,2,0,12,2,0,3,6,0,1,2,4,6,2,2,4,6,2,8,2,5,5,1,4,2,8,4,1,4,9,9,9,4,2,1,10,4,11,4,3,7,2,6,6,1,3,2,6,2,9,8,7,5,9,4,6,5,2,4,5,5
Cell0158,3,2,6,3,3,3,10,4,2,17,4,8,2,6,10,9,2,10,4,4,2,3,11,1,4,3,3,0,9,3,1,4,3,1,4,4,1,2,1,8,0,2,2,18,17,3,4,1,4,7,7,8,2,12,0,6,4,3,13,11,2,5,0,3,4,7,5,0,4,1,4,4,2,1,8,4,1,1,6,0,6,1,9,12,3,1,0,5,3,9,0,3,5,1,2,2,7,9,1,1,10,5,5,0,1,2,2,6,5,1,1,18,5,8,7,1,1,2,1,4,1,9,2,7,4,5,4,3,4,4,8,1
Cell0159,2,1,4,3,1,5,9,6,6,11,9,7,1,8,6,11,5,12,3,3,3,3,3,2,3,2,10,0,3,2,1,4,3,0,5,8,0,1,1,2,0,3,1,41,24,7,7,2,5,7,3,9,1,11,4,3,3,7,13,5,3,7,1,3,2,7,4,1,5,2,2,7,5,5,10,1,4,2,4,0,8,2,9,4,1,6,1,2,1,8,0,6,7,1,2,3,5,9,3,1,6,5,3,4,2,1,1,4,9,3,2,11,2,10,5,1,4,1,2,1,5,7,3,2,5,1,3,0,4,3,2,2
Cell0160,8,10,2,8,2,9,18,8,13,4,3,1,5,2,3,7,0,2,4,2,2,3,7,1,1,2,2,7,11,3,4,13,10,6,15,0,21,29,13,19,10,60,11,0,4,8,13,2,3,5,6,14,3,12,2,7,2,7,12,14,8,11,0,4,3,4,5,2,9,5,1,11,11,3,2,6,2,12,3,3,8,1,2,14,0,5,1,3,1,15,2,5,2,1,6,6,5,3,3,3,3,10,11,7,2,2,12,2,14,1,6,9,6,18,0,5,0,10,5,4,2,10,3,5,4,11,3,3,4,6,12,6
Cell0161,3,7,3,7,2,7,10,6,4,7,0,4,4,2,5,9,1,5,4,3,2,5,7,6,2,6,7,2,6,1,2,3,6,0,4,6,1,4,7,5,1,5,1,6,10,6,8,5,6,7,8,7,1,9,1,7,3,2,6,7,4,7,6,3,0,9,2,2,2,3,2,2,2,2,4,5,2,7,1,2,5,6,11,2,2,2,5,7,6,5,1,10,5,3,2,5,13,0,4,4,2,12,5,6,5,1,4,5,18,5,4,5,8,7,6,3,6,0,5,2,5,2,0,3,11,11,1,2,8,3,5,7
Cell0162,4,1,10,0,5,0,6,8,3,9,3,5,2,7,10,5,4,9,1,2,2,3,10,1,0,5,2,1,6,2,4,2,4,1,7,4,1,3,1,5,0,6,4,21,16,12,9,3,0,7,4,8,0,12,0,7,2,10,12,15,5,6,2,4,0,8,4,3,3,7,8,6,2,3,3,1,2,6,0,0,7,1,12,8,3,2,1,5,3,10,4,2,8,2,2,2,6,3,1,2,10,4,4,3,2,3,7,7,11,1,2,8,7,11,2,0,5,1,3,1,2,3,6,4,7,9,8,9,3,1,3,0
Cell0163,4,4,4,7,4,5,9,6,2,21,6,5,3,7,6,10,1,7,2,5,1,2,7,1,2,3,5,0,5,5,2,8,2,6,5,3,6,7,2,10,1,5,8,17,3,6,5,1,7,10,2,5,3,5,10,20,6,1,1,0,21,13,5,16,5,0,5,0,16,9,6,15,3,3,7,2,2,6,5,1,7,2,4,6,1,5,3,4,1,15,0,4,5,6,2,2,4,1,1,3,6,3,12,2,0,1,5,3,9,7,2,7,7,12,3,2,1,4,4,8,12,6,2,2,4,4,8,3,3,6,5,6
Cell0164,2,2,6,1,2,3,6,0,2,10,8,3,2,7,2,6,3,12,3,2,3,3,4,9,4,3,6,0,5,3,2,3,2,2,4,5,5,4,9,14,2,14,9,3,3,15,3,9,4,7,2,3,3,8,12,26,13,0,2,1,14,16,14,9,6,1,10,3,9,16,5,24,2,0,9,2,2,2,6,2,1,2,9,10,5,5,2,6,3,10,0,4,9,0,0,0,7,6,3,1,8,4,6,3,2,1,1,4,4,15,1,2,4,11,4,3,2,7,2,1,5,5,3,9,3,5,2,7,3,3,0,1
Cell0165,4,5,4,1,3,2,8,5,2,12,2,3,6,4,4,6,2,6,2,2,0,6,10,4,2,5,8,2,5,3,3,5,2,0,7,5,6,6,4,6,5,10,9,6,4,8,9,3,4,4,3,3,4,9,14,14,9,4,1,2,12,14,9,24,5,1,7,8,9,19,5,31,2,4,7,3,2,1,2,3,6,0,2,4,3,7,4,5,0,7,0,4,6,2,0,5,2,3,0,6,6,5,4,7,2,5,2,6,8,1,9,15,3,6,1,3,4,3,7,3,2,4,1,6,5,4,3,4,2,8,4,2
Cell0166,16,14,3,11,0,10,10,13,3,5,5,3,5,1,3,4,1,3,1,3,2,5,11,1,1,1,2,8,10,3,9,14,8,3,20,0,15,23,19,18,12,48,15,0,1,6,12,0,1,2,10,16,1,18,6,10,3,4,6,6,10,11,4,4,2,8,3,2,4,7,4,10,14,6,2,7,14,14,1,11,10,1,4,7,2,3,2,6,1,6,8,4,2,3,5,9,7,0,3,6,2,11,15,15,5,6,11,1,4,3,2,7,4,14,12,1,2,6,7,1,2,1,6,2,6,7,6,8,9,9,3,1
Cell0167,1,1,13,2,7,1,6,3,5,4,2,7,7,2,1,7,0,4,2,6,7,4,6,8,4,7,7,1,6,0,3,2,5,1,6,1,2,5,6,9,3,5,8,11,4,4,6,1,4,3,6,5,2,11,2,10,0,2,10,6,6,6,3,14,5,1,9,4,7,9,4,12,5,2,7,2,1,7,4,1,2,8,12,5,4,4,6,12,2,5,3,13,2,1,5,5,7,2,8,3,9,4,5,5,0,3,4,3,7,3,8,2,7,12,4,3,6,4,16,7,5,10,1,5,4,5,4,2,6,5,3,5
Cell0168,2,2,10,0,7,3,9,5,5,5,5,3,0,1,2,3,0,8,1,8,3,10,4,6,7,5,12,1,1,3,0,1,1,0,3,9,3,4,7,5,2,9,2,11,6,10,5,1,1,5,6,4,0,8,2,6,3,4,3,10,4,7,3,9,3,2,5,0,3,8,4,11,10,4,3,4,4,9,2,3,6,5,18,5,5,1,5,12,8,1,3,5,6,2,2,5,10,6,4,2,8,4,2,5,1,5,1,0,5,2,2,9,1,8,3,2,0,2,4,3,6,6,8,2,2,9,2,3,5,4,4,0
Cell0169,3,1,13,4,1,7,6,5,3,11,4,2,1,5,7,9,3,12,1,3,6,7,4,6,3,2,10,2,3,3,3,6,3,1,7,2,3,5,6,4,1,16,8,4,3,5,8,5,3,5,4,3,5,9,13,35,13,0,0,1,15,32,10,21,5,3,8,3,7,20,10,30,5,1,7,3,0,5,3,3,5,0,7,6,2,7,2,2,3,7,2,3,4,4,1,0,7,0,0,3,5,2,6,8,0,2,7,4,5,5,7,9,5,11,1,4,3,4,0,1,6,14,3,1,4,6,2,3,12,7,4,1
Cell0170,7,2,2,2,2,4,10,10,7,4,4,4,3,5,1,6,0,1,3,0,5,8,8,5,3,1,6,3,7,5,3,9,1,4,7,1,1,3,3,4,2,8,5,9,3,12,5,6,9,6,0,5,4,4,3,3,1,5,7,12,4,8,4,9,2,1,3,2,5,5,7,12,1,1,11,2,1,3,5,0,3,1,4,10,4,1,1,6,2,7,5,8,1,0,3,4,8,1,1,1,8,5,2,1,1,1,1,2,4,9,3,8,2,6,2,1,6,5,10,7,8,3,2,3,2,10,2,2,2,5,4,0
Cell0171,3,5,10,8,3,6,12,4,8,9,5,4,4,1,3,5,1,6,4,3,3,3,4,1,5,4,13,3,5,4,0,9,5,4,16,5,6,5,7,14,4,16,5,4,4,24,2,5,9,13,3,3,4,5,1,8,3,1,11,5,12,9,3,9,5,0,5,3,10,3,2,16,0,1,8,0,0,1,10,0,1,1,13,4,2,6,6,10,3,7,0,7,2,1,3,8,3,5,3,1,5,5,4,3,1,3,3,11,8,2,3,7,4,9,1,0,7,2,2,4,2,7,5,4,5,7,10,4,8,1,3,4
Cell0172,4,6,5,5,1,5,10,9,5,10,6,3,2,2,6,7,3,6,5,3,8,4,6,4,0,4,10,4,8,3,2,5,4,1,5,2,1,4,3,4,1,3,6,9,5,19,4,8,10,11,0,1,6,3,0,5,1,2,5,7,3,8,2,16,7,5,7,6,8,15,5,19,2,1,12,0,3,4,9,1,2,4,9,11,1,3,5,6,4,9,2,2,7,3,5,1,8,4,0,1,10,4,4,1,0,2,1,7,5,6,4,4,5,12,7,6,5,3,3,11,5,11,2,1,5,4,5,1,8,1,4,5
Cell0173,9,9,2,9,2,10,13,11,6,4,1,3,6,3,0,6,2,2,1,1,1,4,10,2,2,1,4,4,13,5,8,14,8,5,14,0,26,36,21,26,9,67,15,1,0,5,4,2,5,2,14,7,0,7,2,6,3,3,12,6,5,6,2,9,8,3,2,2,11,13,4,10,19,10,1,1,7,18,1,7,12,1,4,10,6,4,1,3,2,13,3,6,4,1,4,0,6,1,1,6,1,5,9,13,5,3,8,1,2,2,9,20,1,4,3,4,6,4,6,1,8,8,9,2,15,9,4,3,1,1,3,2
Cell0174,14,11,3,11,1,11,22,11,5,5,1,1,7,0,4,1,1,3,1,3,3,2,6,1,0,2,7,7,9,6,1,21,7,6,17,0,26,18,18,24,12,55,15,4,1,2,8,2,2,3,6,7,4,12,1,10,3,4,6,10,3,11,2,9,6,6,4,6,10,5,0,9,14,8,1,4,3,18,1,7,8,1,2,12,0,8,0,6,0,7,1,2,3,3,5,3,2,3,2,1,4,9,6,10,5,4,9,5,2,2,4,14,0,9,3,1,3,5,0,0,8,13,2,1,3,7,4,4,4,6,10,4
Cell0175,8,8,1,5,3,8,13,14,6,3,1,2,4,2,2,7,0,3,3,2,1,5,7,0,2,6,7,12,19,11,7,20,13,8,19,0,18,28,29,18,12,53,21,1,1,4,12,1,5,1,8,20,1,11,2,7,6,8,9,2,5,8,2,7,3,2,5,2,9,6,3,17,26,8,1,7,7,24,0,12,19,1,3,5,1,5,3,2,4,5,3,6,5,4,9,8,14,2,3,5,4,6,13,10,2,2,11,1,18,3,2,10,6,10,3,1,7,0,3,3,3,12,3,6,6,8,2,0,6,9,1,4
Cell0176,4,1,10,0,1,2,7,3,5,13,4,5,5,2,4,7,3,9,3,2,3,6,8,4,2,5,11,3,3,4,0,3,3,2,10,8,2,5,5,5,3,8,5,6,8,7,5,11,7,13,3,5,8,5,16,25,7,0,4,1,17,17,12,19,7,5,6,2,5,6,4,14,3,1,8,1,0,2,5,1,3,4,5,5,4,5,0,3,2,6,6,2,6,1,3,2,5,4,1,2,4,5,4,8,4,5,3,7,14,2,6,9,5,8,3,5,2,7,4,2,5,14,9,8,0,10,4,6,6,5,1,3
Cell0177,10,7,4,5,3,6,19,10,8,3,2,3,6,2,3,8,2,5,1,3,1,5,14,0,3,2,6,10,18,5,7,17,9,7,15,0,17,22,18,19,3,43,10,2,3,4,15,1,4,2,9,13,1,14,0,3,5,9,8,10,5,2,2,14,6,3,4,3,0,9,5,11,9,6,2,8,9,12,2,6,12,1,4,5,0,5,2,4,3,12,0,2,4,1,3,3,11,6,1,5,0,15,9,12,3,8,6,5,10,9,7,6,1,6,4,2,6,3,12,1,6,10,4,5,5,2,9,5,3,8,8,0
Cell0178,5,2,7,6,4,3,8,2,7,8,6,1,4,0,6,4,2,6,0,0,2,2,15,2,0,3,6,1,6,4,2,6,3,2,6,1,1,4,6,8,4,7,9,10,5,13,1,7,10,9,3,1,1,3,3,5,2,4,7,6,4,8,5,13,8,7,8,2,5,5,5,10,2,1,14,5,0,1,8,1,2,3,10,4,2,5,3,2,0,13,3,5,6,2,4,2,7,1,0,0,8,4,4,6,0,0,2,6,5,5,7,11,5,6,0,2,4,4,8,6,2,0,2,3,5,10,4,5,2,2,4,6
Cell0179,3,4,8,4,4,6,10,6,5,5,1,3,3,2,2,8,2,4,2,3,4,5,9,6,2,3,11,2,3,0,3,6,1,0,7,5,3,3,7,7,1,4,4,15,4,7,5,3,3,6,8,7,0,5,3,8,0,2,4,8,6,9,2,10,4,2,1,1,5,5,2,3,3,5,4,2,1,5,4,2,4,8,10,4,4,2,1,6,4,9,3,7,0,8,1,10,8,3,4,4,5,10,9,9,1,8,7,0,4,9,2,5,1,7,7,2,4,3,4,8,2,7,4,3,2,6,4,1,6,9,3,1
Cell0180,0,3,3,1,4,4,7,4,6,5,3,6,4,9,1,8,2,8,1,4,1,6,8,1,1,2,7,2,4,2,0,2,2,1,5,8,2,1,2,6,1,2,1,35,29,6,7,1,0,4,4,5,0,7,4,6,0,4,1,12,7,3,0,5,6,4,3,4,4,3,2,11,5,2,9,3,3,4,3,3,4,2,7,7,1,5,1,6,0,7,1,2,3,5,0,5,5,3,0,0,9,4,5,3,1,1,2,11,9,9,4,4,4,3,1,0,7,1,5,1,4,6,2,6,5,3,9,2,8,4,1,1
Cell0181,3,3,8,6,2,3,9,5,3,5,7,4,5,5,6,3,2,6,3,2,1,3,7,4,4,2,7,1,1,3,2,5,7,0,6,6,1,2,3,5,1,3,3,8,14,8,7,4,4,6,3,2,1,7,1,9,6,3,8,8,6,10,7,3,3,8,3,2,2,6,1,5,2,5,6,0,5,8,1,3,4,6,14,4,1,2,3,11,1,4,4,5,2,4,6,7,13,1,3,2,6,9,20,10,2,6,10,1,6,2,6,17,6,7,4,1,4,3,3,4,9,11,1,1,2,3,3,5,6,4,2,4
Cell0182,10,2,5,3,1,5,9,8,3,5,3,5,7,2,2,5,4,7,1,4,1,1,4,1,3,2,11,3,5,1,3,8,2,2,7,4,6,10,3,5,0,16,9,7,6,27,1,10,15,18,1,3,7,4,8,14,1,1,5,8,6,10,6,8,1,3,8,1,8,9,1,6,2,2,10,2,3,0,5,0,5,3,6,2,4,5,4,5,3,9,3,2,5,0,2,4,5,3,2,1,13,4,5,6,0,1,3,7,4,3,2,3,4,15,4,3,4,2,5,0,5,20,5,3,5,5,13,4,1,2,9,1
Cell0183,7,6,9,2,3,5,10,1,2,7,4,3,2,2,4,9,3,4,4,4,0,8,5,1,2,2,7,4,4,3,0,4,0,2,3,7,8,5,4,9,1,4,3,7,2,6,4,1,0,3,4,6,5,5,11,27,8,2,4,4,15,21,10,17,8,6,9,3,10,8,3,13,1,2,13,0,1,0,3,1,6,2,4,3,1,5,2,4,1,16,0,3,9,1,2,4,3,5,1,0,6,3,5,7,0,0,2,5,4,1,4,17,3,22,1,2,0,8,2,5,11,15,4,3,1,11,5,1,3,3,5,4
Cell0184,10,7,4,7,2,10,13,7,6,5,1,4,8,2,1,1,0,2,2,2,3,5,10,2,0,2,5,12,16,7,10,16,10,6,23,1,19,22,13,17,10,37,7,0,2,3,11,3,3,4,7,10,0,11,2,6,3,3,16,10,5,10,6,8,3,8,8,1,4,6,0,7,16,5,1,5,2,13,2,5,16,1,8,9,1,3,0,3,4,10,3,4,2,4,1,3,9,5,0,7,8,11,8,13,12,6,17,1,7,10,10,8,5,10,6,1,4,1,1,6,3,12,6,5,6,6,0,6,9,5,3,3
Cell0185,3,0,10,2,3,3,5,2,3,11,3,3,3,3,2,2,3,5,4,0,2,5,5,7,2,3,7,0,3,3,1,4,3,3,4,3,9,2,1,5,4,11,6,3,10,9,8,1,1,7,5,6,2,8,14,30,8,0,2,2,19,20,13,16,5,5,9,4,10,16,5,18,3,1,7,2,2,2,1,2,4,3,6,4,2,4,2,5,1,13,0,1,7,6,2,5,8,5,0,2,5,6,5,5,5,2,4,4,5,5,4,4,4,2,2,4,5,1,5,6,7,10,9,0,6,3,8,5,6,4,2,1
Cell0186,5,1,6,5,3,4,4,5,7,7,8,5,2,4,8,11,4,5,8,5,5,3,8,2,2,3,5,0,2,1,2,4,2,1,9,4,5,3,3,8,1,12,2,6,8,7,3,2,3,8,3,7,2,5,18,25,12,1,6,1,16,16,12,31,8,5,7,5,14,23,5,42,2,3,9,3,1,5,5,0,9,1,4,10,2,3,0,4,2,12,1,3,9,1,2,3,3,5,1,2,2,9,9,9,5,3,4,2,3,2,13,14,3,17,3,2,5,7,3,2,7,10,3,1,1,2,8,2,1,11,11,2
Cell0187,5,4,8,4,5,7,8,8,4,9,3,4,9,5,2,6,9,5,3,5,5,4,6,3,5,5,12,6,6,4,4,9,4,3,9,1,7,5,1,5,3,16,9,1,1,26,0,3,8,13,1,7,4,3,5,8,4,2,2,5,8,14,4,14,3,3,3,2,12,3,2,15,2,0,8,0,2,1,8,0,2,3,5,6,3,6,3,10,2,11,2,5,7,1,2,8,4,2,0,4,3,6,2,5,2,4,5,14,3,1,2,4,0,2,4,1,4,2,7,1,1,15,4,3,4,4,13,2,1,3,3,2
Cell0188,2,3,8,3,1,4,6,3,4,16,6,1,3,8,4,4,3,6,1,7,2,4,9,7,5,3,10,2,2,1,1,4,4,1,5,6,7,3,6,5,7,13,8,10,8,12,7,5,6,6,2,3,3,5,10,30,9,0,1,1,22,14,14,17,6,2,8,2,12,12,1,13,3,0,8,1,2,2,1,0,1,2,4,5,1,6,6,5,4,10,2,1,8,3,2,2,7,7,0,2,5,4,3,5,4,2,3,3,8,5,6,7,3,12,4,3,1,2,6,0,6,10,9,4,8,4,7,3,2,4,2,1
Cell0189,2,3,7,3,3,5,8,3,2,14,3,5,2,3,4,5,2,3,5,4,5,8,5,3,4,2,14,0,3,1,1,4,1,1,4,5,6,3,4,4,2,13,3,7,5,5,5,1,2,3,9,3,1,8,1,9,2,1,4,9,14,19,1,8,3,2,6,2,9,19,8,16,5,3,9,6,5,12,4,3,4,9,21,1,5,1,5,6,6,4,3,7,5,5,4,6,8,4,4,3,3,6,3,5,3,4,4,6,13,9,1,4,4,10,4,1,2,6,9,2,9,8,3,4,5,3,7,9,5,4,5,3
Cell0190,1,2,16,0,2,0,5,2,5,4,2,4,8,4,2,2,0,2,5,3,1,4,3,5,3,3,14,2,5,1,1,4,4,0,2,4,2,6,4,6,1,10,4,6,6,5,7,2,5,5,3,8,4,9,0,4,1,1,12,9,3,1,2,11,6,4,8,4,4,9,4,18,4,0,4,0,3,6,2,5,3,11,13,4,7,4,5,8,2,3,1,4,1,2,6,5,12,4,0,6,6,7,6,8,4,3,4,2,2,1,6,15,7,5,2,3,2,1,9,1,9,12,2,6,2,7,6,1,2,1,8,3
Cell0191,9,5,1,10,2,11,13,12,7,6,0,0,4,0,3,3,3,4,0,4,3,2,13,2,2,0,4,12,21,8,7,14,7,6,20,1,13,22,17,11,7,34,9,4,0,2,16,1,1,2,14,12,3,20,2,6,3,0,8,5,7,6,2,7,5,8,6,4,11,6,4,11,11,7,6,5,1,13,2,4,8,2,5,9,2,2,1,5,0,15,3,9,3,0,2,10,6,3,4,5,3,11,23,19,5,15,11,3,6,1,2,5,3,17,6,2,3,3,6,2,3,8,3,2,5,10,3,1,6,7,6,2
Cell0192,1,1,3,2,1,8,6,8,5,21,8,11,7,8,3,5,3,12,4,2,2,5,8,5,4,4,7,2,7,3,1,10,4,1,13,4,1,1,0,5,0,3,4,19,17,6,4,5,5,2,7,10,2,9,3,2,1,1,10,10,2,5,3,7,3,5,7,0,3,3,3,6,1,1,10,1,2,3,4,0,1,0,7,9,0,5,1,7,3,8,0,5,2,3,0,2,7,8,0,2,4,8,10,2,2,3,2,5,14,2,4,11,1,8,2,2,3,1,9,4,5,2,6,3,7,13,7,4,7,7,2,2
Cell0193,3,6,9,3,1,6,10,9,4,20,12,13,1,7,3,11,3,9,0,1,1,4,9,2,3,1,9,2,4,5,3,6,2,4,7,8,2,2,2,3,2,2,2,40,17,4,7,2,5,5,3,7,0,9,0,6,2,3,5,11,1,10,2,7,3,8,3,4,3,6,2,12,3,1,9,3,3,3,4,1,2,0,11,7,0,3,2,6,5,9,2,2,7,2,3,0,4,9,1,1,3,5,8,3,0,1,5,4,4,2,3,8,3,11,5,2,5,0,4,5,10,3,10,3,2,5,9,1,2,5,8,3
Cell0194,1,6,4,3,4,5,8,7,1,11,6,6,0,2,5,8,2,8,2,4,4,2,4,3,3,2,10,4,7,3,4,3,4,2,15,1,1,4,3,7,2,14,10,9,5,10,2,1,5,6,6,2,3,13,16,21,7,1,1,1,20,12,14,30,8,1,18,3,11,16,4,40,3,0,9,2,5,3,7,2,3,0,5,4,2,4,6,2,2,11,3,3,4,1,2,4,6,8,1,3,7,11,3,5,2,4,1,2,7,0,3,17,3,10,4,6,1,3,10,2,2,12,5,3,3,7,10,3,4,2,4,1
Cell0195,3,8,4,5,1,0,6,7,2,8,4,6,3,8,2,3,4,7,0,2,2,5,10,3,1,4,3,4,0,1,1,6,1,1,8,4,3,3,3,4,2,6,4,12,11,11,2,4,6,8,2,7,4,10,8,6,5,5,6,5,5,8,4,2,4,10,6,2,4,3,2,5,6,3,6,5,3,14,1,5,9,0,10,4,1,1,3,10,7,8,1,3,2,4,4,4,12,1,1,1,4,10,8,11,3,4,7,2,7,3,5,19,3,16,2,0,2,3,5,2,2,3,3,4,5,10,8,2,5,3,8,0
Cell0196,8,2,4,5,2,9,16,9,4,7,4,5,3,2,5,6,1,5,2,4,0,8,14,2,2,3,4,4,10,2,3,12,8,2,11,2,4,7,4,5,4,8,8,11,6,15,3,4,7,8,1,3,4,4,0,8,2,3,12,8,2,6,5,9,1,2,5,2,3,9,4,8,1,0,10,3,1,1,7,0,1,3,7,11,4,1,2,7,3,9,2,7,0,4,5,3,5,2,1,5,7,7,6,5,2,2,3,1,11,5,1,6,1,15,5,1,3,3,2,5,4,10,2,1,4,4,5,3,12,7,3,1
Cell0197,2,4,10,3,5,3,6,7,2,3,3,4,4,5,5,6,1,9,4,5,2,5,6,7,3,4,12,4,2,1,2,4,2,1,2,5,4,3,2,12,4,9,6,7,4,12,4,1,3,6,0,7,3,3,13,24,13,2,1,2,24,26,13,29,8,4,6,3,12,19,11,33,3,2,7,1,1,4,3,1,3,0,3,8,1,4,2,5,3,5,3,4,5,2,3,4,4,8,0,0,9,4,2,0,3,3,3,3,7,4,2,4,4,13,3,6,4,3,4,1,18,15,2,0,2,8,12,4,8,3,4,0
Cell0198,2,4,3,4,2,5,6,8,5,11,2,4,5,3,3,4,2,6,7,4,4,6,5,2,3,4,7,1,5,6,1,10,4,2,6,3,5,5,3,5,4,10,2,7,4,15,2,10,9,8,3,4,6,4,6,13,1,2,13,7,7,7,4,13,7,2,6,3,4,3,2,11,4,3,20,3,1,4,7,1,1,2,5,10,1,3,2,3,2,7,2,4,7,2,2,1,5,1,2,1,14,4,4,2,0,1,5,8,4,1,0,14,2,4,1,2,0,3,0,4,15,2,2,10,4,6,5,2,3,1,5,1
