"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0306",0,3,7,15,25,1,2,2,3,8,0,0,5,0,3,1,1,0,12,1,0,1,1,14,4,2,2,4,0,11,1,12,4,6,1,0,0,0,6,5,1,8,4,19,2,1,2,1,13,18,4,4,5,1,2,6,5,3,5,1,3,1,6,3,10,1,6,0,2,8,4,0,4,5,0,6,1,16,2,16,4,5,10,23,2,4,6,5,1,5,9,6,1,3,5,4,4,1,6,12,7,0,6,21,2,5,0,7,14,2,1,4,11,0,15,7,2,3,0,6,43,24,50,43,48,43,31,44,36,32,54,38,35,41,32,59,21,17,28,67,38,43,39,39,30,54,32,28,35,26,9,33,43,48,9,24,38,41,30,44,1,10,8,0,6,0,5,3,4,11,2,3,11,5,12,0,3,4,6,6,5,13,8,9,3,3,5,1,2,1,4,0,7,3,3,2,8,8,7,10
"cell0307",0,4,5,13,25,0,0,5,0,2,0,0,2,0,16,1,3,1,16,0,1,0,3,16,6,4,2,6,1,4,1,12,1,4,0,1,0,0,9,2,1,21,3,17,2,0,1,0,8,7,0,7,8,11,1,5,3,3,5,2,3,0,4,7,6,5,3,0,0,2,4,5,1,2,0,6,0,16,2,17,3,4,15,12,2,10,4,13,4,7,6,3,3,7,7,3,2,1,9,6,9,2,15,12,4,0,2,7,7,3,2,2,2,1,12,8,3,8,0,10,40,25,32,46,45,61,33,31,26,30,53,52,43,48,27,47,23,23,40,66,40,52,32,39,33,49,36,34,34,35,17,30,23,44,16,24,19,44,34,28,3,10,14,0,5,0,6,2,1,7,3,5,9,2,7,3,4,3,2,3,2,8,8,6,1,2,0,2,4,0,4,2,6,7,2,2,5,7,17,14
"cell0308",1,2,6,14,22,1,1,0,3,7,0,0,7,0,5,4,3,0,6,1,0,1,3,21,2,4,5,7,1,3,0,9,4,4,1,0,0,0,11,4,2,9,3,17,2,3,2,0,5,9,3,6,7,5,1,7,0,1,3,5,5,1,4,5,4,3,0,0,0,8,6,8,3,4,0,2,0,14,8,16,9,5,7,19,2,8,7,10,9,5,5,5,2,4,3,7,4,4,11,5,9,1,8,17,2,3,2,7,9,6,2,3,4,2,13,5,0,8,0,14,42,26,42,41,46,41,32,48,23,42,51,24,31,37,43,44,20,25,40,51,36,54,27,32,32,54,37,24,24,33,15,27,34,51,17,28,27,29,48,25,0,12,7,0,4,0,2,5,0,9,5,6,10,3,12,1,2,5,7,1,7,11,6,3,1,3,2,1,2,0,3,2,4,2,1,1,5,5,13,6
"cell0309",0,1,6,14,15,0,0,4,3,4,0,0,4,1,6,0,1,0,15,0,1,1,2,20,8,5,2,4,2,6,0,8,5,6,0,0,0,0,10,2,0,22,6,20,1,3,1,0,12,9,2,3,4,6,1,5,2,5,5,0,4,0,4,5,9,5,0,0,0,2,7,1,0,4,1,3,0,12,7,12,4,6,9,23,2,4,5,11,4,7,5,14,3,4,5,4,2,1,8,3,9,0,5,13,2,6,6,9,8,2,2,1,4,0,13,5,4,2,0,7,59,28,44,60,49,43,32,37,25,45,45,33,36,44,30,52,19,16,34,60,50,35,36,38,38,53,31,26,40,33,20,38,26,51,10,29,24,31,60,31,2,10,8,0,4,0,6,3,5,9,3,4,18,1,9,0,6,9,2,5,6,6,3,12,1,4,4,1,7,0,7,1,4,8,0,6,4,7,6,14
"cell0310",0,2,6,14,25,1,0,6,1,5,0,0,6,1,6,3,1,2,7,2,0,1,5,12,4,2,0,4,1,10,1,8,3,9,1,0,1,0,8,3,0,9,7,16,3,2,0,0,11,11,3,3,5,10,1,7,2,3,4,1,5,0,1,4,8,8,3,0,1,12,4,2,1,2,0,5,1,12,3,23,2,3,10,21,2,3,5,12,6,3,9,6,0,4,3,4,4,0,10,6,13,0,4,18,0,8,1,10,7,5,4,2,3,0,13,5,3,4,1,10,39,35,45,50,53,42,31,32,22,46,42,47,21,38,24,41,20,20,31,50,40,44,36,33,27,48,36,32,34,38,10,51,17,47,11,30,19,37,41,42,0,13,9,0,2,0,4,1,2,12,3,8,13,2,12,0,4,8,3,10,3,9,6,3,1,2,4,3,6,0,5,2,1,2,2,2,5,7,9,17
"cell0311",1,3,10,15,14,0,0,1,1,3,1,0,3,0,10,1,0,0,10,0,0,0,3,21,3,3,2,5,0,6,0,10,8,0,0,1,0,0,11,2,0,14,4,15,1,3,2,0,11,10,4,4,9,5,1,11,1,0,5,0,4,1,1,5,6,1,0,0,1,6,2,6,4,2,0,8,0,12,2,16,7,4,13,20,0,4,9,15,4,3,3,5,1,6,5,3,2,1,8,7,8,0,2,17,3,4,3,9,4,2,3,1,1,0,8,13,3,5,1,7,44,30,37,51,51,49,32,38,23,35,49,33,40,41,28,45,13,18,27,73,30,38,27,34,37,65,34,22,36,51,19,41,29,43,11,22,16,47,40,18,0,6,8,0,5,0,3,3,5,7,4,5,9,5,8,1,7,1,2,4,6,3,9,2,1,4,2,3,2,0,7,5,4,2,2,2,5,6,11,12
"cell0312",1,0,4,13,12,2,0,1,3,3,0,0,3,1,9,1,3,0,16,0,0,1,4,17,4,2,2,4,1,6,2,4,3,3,1,0,1,1,13,2,1,17,5,21,1,1,1,0,12,13,2,4,7,4,5,10,7,2,3,2,2,0,4,5,15,2,1,0,0,5,7,5,2,2,0,5,1,14,3,17,5,7,14,17,1,6,4,16,6,5,9,6,3,5,6,12,4,0,9,6,10,0,16,22,2,1,3,7,8,4,4,1,4,0,13,7,3,2,0,9,40,24,37,54,51,45,34,45,23,32,41,33,42,40,32,46,13,28,41,57,34,37,24,35,22,53,36,18,29,33,24,41,29,49,12,38,31,35,42,33,2,4,6,0,5,0,3,6,1,10,3,8,13,4,11,1,11,5,6,7,6,7,7,13,0,1,8,4,6,0,3,1,2,3,2,2,9,1,9,11
"cell0313",0,2,8,11,11,1,0,2,3,4,0,0,7,0,7,2,2,1,5,0,0,0,2,18,4,1,2,6,0,5,0,8,1,6,0,0,0,0,11,2,1,18,3,9,7,2,1,1,20,14,4,4,9,9,3,12,3,7,2,2,3,0,6,1,10,4,4,0,0,3,4,6,6,1,0,7,0,21,5,12,8,5,12,24,0,6,4,10,6,8,11,6,0,6,3,6,2,4,9,5,8,0,5,14,5,5,0,7,5,3,3,2,6,0,12,9,3,3,1,9,37,32,47,42,48,53,36,39,18,45,59,34,44,38,22,47,23,15,41,70,48,57,31,30,26,42,37,24,27,49,12,40,24,50,11,22,33,29,41,38,0,10,7,0,5,0,1,1,1,19,1,7,7,1,8,0,10,6,9,6,6,6,6,5,3,2,4,3,4,0,8,2,6,3,1,1,10,10,11,10
"cell0314",0,3,9,9,29,1,1,7,4,9,0,1,5,2,12,0,0,1,10,0,1,1,6,16,8,0,3,3,2,11,1,6,2,2,0,0,0,1,14,2,1,17,3,13,2,4,0,1,12,11,1,5,8,6,1,9,3,5,1,0,1,0,7,3,10,4,4,0,1,7,8,5,1,3,0,6,1,13,8,17,6,3,9,22,5,7,5,20,3,9,4,8,0,5,4,5,3,0,11,6,9,0,5,18,5,4,3,5,7,0,1,4,4,1,6,5,4,11,1,6,35,30,46,58,65,50,32,33,19,42,46,41,36,44,29,45,16,10,41,44,40,48,42,36,37,51,37,28,23,31,13,48,33,41,13,31,20,32,49,43,1,5,10,0,2,0,4,4,4,11,3,9,11,1,13,0,7,6,3,6,7,18,6,1,1,5,3,2,7,0,0,0,2,3,1,2,6,5,7,11
"cell0315",0,4,5,12,20,2,1,3,1,3,1,0,4,1,9,1,1,0,9,0,0,1,5,18,5,0,0,7,2,6,3,8,2,4,2,0,0,0,13,2,1,13,8,19,0,0,2,1,11,9,2,8,16,7,2,14,1,4,2,4,4,0,4,1,10,7,2,0,0,5,6,2,2,3,1,7,0,18,0,15,4,4,9,19,2,3,2,13,4,4,4,4,3,5,5,6,4,3,5,11,8,1,3,16,4,1,1,6,10,5,2,0,2,3,12,10,2,2,0,6,47,28,43,46,45,47,36,35,14,33,57,34,41,37,31,49,14,18,48,64,46,51,38,37,26,68,43,25,20,44,14,31,24,29,16,24,18,28,48,41,1,10,2,0,2,0,8,2,3,5,6,6,15,2,15,1,2,6,3,9,6,7,6,1,2,1,1,3,3,0,2,4,5,2,2,1,4,4,4,13
"cell0316",0,2,4,12,19,1,0,5,5,2,0,0,3,1,6,2,0,1,10,0,0,2,0,15,2,1,2,1,0,8,2,7,7,2,0,0,1,0,12,2,0,15,3,14,1,1,2,0,14,7,2,4,12,9,1,4,1,3,3,2,4,0,1,1,7,4,7,0,2,10,10,3,3,3,0,8,0,19,6,25,6,1,16,18,3,7,5,15,6,4,4,1,4,3,8,2,2,1,8,15,9,0,10,16,2,5,1,7,12,5,1,3,4,1,11,8,1,6,0,14,44,46,43,46,64,57,43,33,21,43,44,36,32,36,36,57,12,15,21,61,27,41,24,25,31,43,45,34,38,34,20,38,23,41,14,25,31,37,44,40,1,9,9,1,3,0,7,3,4,8,3,8,5,2,7,0,4,2,2,4,6,12,6,7,3,2,1,2,2,0,4,0,3,1,1,3,2,5,13,15
"cell0317",0,1,4,8,19,1,0,5,2,7,1,1,7,1,7,1,1,0,7,1,0,1,4,22,5,3,1,2,3,6,1,4,4,4,1,0,0,0,14,2,1,15,3,22,3,2,1,1,8,10,4,8,10,4,5,13,1,3,6,0,6,0,2,7,10,10,1,0,0,9,4,2,1,2,0,2,0,20,5,20,5,3,10,20,2,2,4,7,2,8,8,5,1,7,7,11,5,0,10,4,12,0,9,15,2,4,1,4,16,1,3,2,2,1,14,15,3,9,0,7,34,33,35,47,37,40,27,34,18,48,37,28,28,37,19,44,18,18,46,55,30,40,38,22,35,65,26,22,25,33,22,41,32,39,16,27,27,30,33,28,0,7,6,0,5,0,5,1,2,9,3,6,8,5,15,0,4,1,5,10,11,9,6,7,0,3,5,3,9,1,3,1,3,2,1,1,7,2,6,12
"cell0318",0,1,5,11,29,1,2,4,3,2,2,0,3,1,11,1,1,1,10,1,1,1,3,26,5,2,1,7,1,5,1,10,5,3,0,0,0,0,4,3,0,16,4,19,3,0,3,0,9,8,0,2,3,1,2,16,4,2,8,2,4,1,3,3,8,2,0,0,0,3,7,1,1,2,0,3,0,17,4,9,7,5,14,20,2,3,11,9,4,5,6,6,2,6,5,3,2,0,10,6,7,0,12,12,3,5,2,13,3,2,1,3,5,1,17,13,1,4,0,10,43,27,52,45,62,49,37,36,19,38,55,38,37,37,34,45,14,14,31,56,37,49,33,27,25,51,37,26,23,27,11,39,28,44,11,40,23,34,45,35,1,7,6,1,3,0,3,1,4,5,4,10,6,6,15,2,9,3,4,11,6,5,4,6,2,0,5,1,3,0,6,2,3,1,4,1,5,9,11,11
"cell0319",0,1,11,8,20,1,1,4,3,6,0,0,5,0,7,0,0,0,17,0,0,0,4,13,5,2,5,6,2,4,0,5,1,3,0,0,0,1,7,4,1,17,4,22,5,1,1,1,17,7,4,5,5,5,2,15,5,1,4,0,3,2,4,7,10,6,0,0,1,1,6,5,1,1,0,4,0,12,4,10,6,5,17,19,3,3,1,23,6,10,6,3,0,6,2,12,3,1,6,5,11,0,4,21,3,3,5,6,10,2,1,2,2,0,13,9,4,7,2,7,40,28,44,47,49,47,33,43,28,40,63,30,33,39,27,51,18,21,42,56,34,45,28,34,43,57,44,22,30,43,14,50,26,53,11,19,18,36,49,36,2,12,10,0,2,0,4,3,1,5,4,9,10,5,11,0,4,2,5,3,7,9,7,12,1,4,2,0,5,0,8,0,2,1,6,4,10,5,8,13
"cell0320",0,1,13,7,20,0,2,6,1,4,0,1,3,0,9,0,1,1,9,0,0,0,6,12,6,1,1,5,2,9,0,9,3,5,1,0,0,0,9,1,1,16,2,18,4,1,4,0,16,12,2,2,7,7,0,8,3,2,5,1,5,0,5,5,2,0,2,0,2,11,3,3,3,1,0,5,1,15,7,17,9,2,17,26,2,3,4,25,5,8,8,5,4,4,6,7,1,3,13,9,3,0,7,12,1,4,3,4,9,6,4,2,3,1,11,9,4,4,0,13,38,28,49,45,57,55,33,30,22,35,64,32,39,36,35,49,26,19,36,47,43,49,36,29,29,60,30,35,28,40,9,35,25,41,17,38,27,31,48,41,0,5,5,0,3,0,3,1,3,10,5,12,3,1,10,2,3,4,8,9,9,11,5,5,0,0,4,2,6,0,7,5,3,3,1,4,12,6,8,13
"cell0321",0,1,8,10,14,0,1,2,3,3,1,0,2,0,9,1,1,1,8,0,2,0,5,21,6,2,0,4,2,9,0,5,3,5,1,0,0,0,7,1,0,19,5,21,2,2,1,0,19,5,5,10,8,5,2,4,6,1,6,1,5,1,6,4,10,6,2,1,2,5,3,4,1,2,0,4,0,9,8,14,5,6,12,26,3,3,3,13,6,11,8,3,1,0,3,12,0,2,12,8,2,0,3,12,3,4,1,4,5,7,4,3,1,0,18,6,5,5,0,8,37,24,57,38,52,45,25,48,18,33,42,34,34,41,28,42,21,21,48,64,39,42,33,34,44,50,46,21,24,36,14,44,25,45,9,29,20,35,42,33,4,9,9,0,2,0,7,3,3,6,6,7,11,4,12,1,10,3,2,5,5,11,5,8,0,2,5,4,3,0,7,3,4,1,3,2,6,5,7,6
"cell0322",1,0,16,15,20,0,1,2,5,6,1,0,1,3,8,0,2,0,7,0,0,0,9,16,4,2,1,6,1,4,0,12,1,2,0,0,2,1,9,3,0,15,5,20,1,2,2,0,16,7,1,9,7,7,3,9,4,4,5,3,4,0,7,2,13,2,1,0,2,5,3,5,2,0,0,1,0,20,4,19,2,5,14,22,1,6,10,20,3,7,5,4,3,1,4,9,3,1,11,9,3,0,10,15,1,9,3,5,11,2,2,6,3,1,12,9,1,5,1,7,25,27,57,49,57,43,41,40,22,44,44,35,41,50,32,30,21,24,29,62,37,30,25,27,39,54,43,25,38,27,10,32,27,43,15,19,23,28,49,48,1,11,7,0,2,0,4,4,1,8,4,2,11,3,12,0,3,6,2,4,5,11,3,11,2,3,4,3,4,0,5,4,0,5,2,2,11,7,8,9
"cell0323",0,0,3,13,16,0,1,3,1,3,1,0,2,1,8,1,0,0,12,0,0,0,5,9,4,1,1,5,3,7,1,9,4,2,0,0,1,0,12,5,0,10,6,16,3,1,3,0,12,7,6,3,6,4,4,20,1,4,4,3,2,2,2,3,13,4,3,1,3,2,5,2,2,0,0,4,0,19,6,17,3,1,20,15,1,6,5,15,7,7,6,4,2,3,2,7,1,0,7,2,7,0,10,14,1,6,3,8,9,3,2,3,3,1,11,12,4,1,0,15,41,37,29,42,53,49,42,24,23,36,43,40,52,41,27,66,22,18,38,48,42,37,34,32,32,40,28,28,22,30,19,37,30,42,16,24,24,38,47,45,1,8,5,0,2,0,1,1,2,8,3,9,11,1,12,0,4,6,7,9,7,9,8,8,0,4,2,1,3,0,5,1,1,4,4,3,8,3,6,7
"cell0324",1,2,7,11,22,0,0,9,1,1,0,0,4,0,12,1,0,2,9,0,0,0,6,12,11,0,2,2,2,10,0,8,4,6,0,0,1,0,7,3,0,21,4,17,2,1,2,0,10,9,2,4,10,4,2,7,3,3,4,0,6,1,5,3,6,6,1,0,0,7,5,4,2,2,0,3,0,22,5,20,8,3,19,19,5,7,3,13,6,6,5,4,3,5,7,5,5,1,10,7,12,0,13,16,4,6,1,5,8,2,3,2,5,0,15,12,0,5,2,7,35,24,39,47,57,44,43,37,15,44,65,28,50,36,38,36,22,19,29,59,52,41,28,36,26,55,41,26,35,38,17,43,30,51,20,29,29,38,31,37,3,13,9,1,1,0,8,3,3,12,6,2,12,8,16,2,5,3,3,4,2,9,5,7,1,0,0,1,7,0,6,2,5,5,1,1,14,3,12,12
"cell0325",0,3,6,6,14,0,0,4,0,6,0,0,3,0,7,0,6,0,7,1,1,2,3,13,4,1,1,5,1,7,2,14,6,5,0,0,1,1,11,1,5,15,4,22,3,0,2,0,13,8,2,4,9,2,1,7,3,3,1,1,6,0,3,4,18,3,0,1,0,5,6,2,3,1,0,6,0,13,4,15,2,5,14,24,3,4,3,21,8,8,8,7,2,9,2,10,3,0,9,9,10,0,13,17,3,3,5,7,7,4,3,3,3,1,14,8,3,6,0,6,42,32,38,39,35,35,30,36,18,33,52,32,37,37,29,42,20,22,36,47,44,40,31,35,33,47,36,29,22,39,14,40,29,39,17,40,18,34,33,37,1,6,10,0,2,0,3,6,3,4,5,7,9,6,11,0,8,3,3,6,5,12,10,5,2,2,1,3,1,0,1,3,3,1,1,1,4,8,10,7
"cell0326",0,1,6,16,22,1,1,0,0,3,0,1,3,0,9,2,1,0,8,0,0,0,3,19,7,3,3,5,1,7,0,10,2,6,0,0,0,0,10,3,2,15,3,14,5,1,1,0,9,9,8,5,9,2,2,7,5,5,3,2,1,0,4,3,13,3,3,0,1,6,4,8,2,2,0,5,0,13,8,14,4,2,16,21,2,3,8,17,5,8,8,5,0,3,7,6,0,2,12,9,9,1,8,13,2,5,4,6,12,7,0,3,3,0,12,7,3,3,0,13,39,20,46,50,52,55,43,39,19,44,54,38,41,37,28,47,20,18,44,47,35,39,34,27,36,51,28,27,25,30,19,32,25,58,19,21,24,34,40,35,0,9,10,0,2,0,1,1,3,8,7,9,10,6,15,1,3,7,2,4,8,12,7,6,0,3,5,2,4,0,2,4,2,8,2,2,7,9,10,10
"cell0327",1,3,6,16,15,0,3,2,1,2,0,1,3,1,11,0,1,0,15,0,0,0,2,17,10,2,2,3,1,6,0,4,6,4,2,0,0,1,13,4,1,13,5,20,2,1,0,0,8,7,1,4,6,7,4,8,4,5,4,4,7,1,7,5,13,6,0,0,3,6,7,2,2,2,1,7,0,7,5,10,3,3,16,20,2,3,3,17,4,12,10,7,2,3,4,8,1,1,8,7,3,0,16,16,0,2,1,6,14,1,5,3,5,0,14,8,3,4,0,15,52,41,59,47,52,43,38,30,23,37,60,41,37,38,29,52,13,14,40,55,30,41,33,32,46,60,31,28,26,33,16,37,21,48,13,23,29,46,33,34,2,8,6,0,6,0,4,6,1,7,3,5,9,3,14,2,6,3,4,8,9,8,8,3,5,3,4,3,5,0,11,0,2,4,4,2,7,4,7,9
"cell0328",0,2,7,10,23,0,1,1,5,5,0,0,7,0,6,3,3,0,5,1,0,0,6,13,4,4,1,4,4,2,0,12,3,4,0,0,0,0,10,7,0,18,4,24,6,2,3,0,7,9,1,2,6,3,2,9,3,2,6,1,4,0,8,0,11,5,5,0,0,5,5,2,3,2,0,6,0,20,4,18,4,2,13,15,2,6,3,11,3,6,10,7,3,7,3,4,2,2,3,7,9,0,10,8,5,4,5,9,12,2,2,4,5,1,9,10,2,8,0,7,44,24,63,43,41,47,40,38,18,48,60,42,40,37,33,49,25,13,38,53,41,51,32,40,29,56,43,25,19,44,17,33,25,32,11,29,19,33,49,41,1,9,11,0,3,1,1,0,3,6,4,8,11,7,17,1,6,4,1,5,8,15,5,11,3,5,0,4,10,0,5,3,2,2,1,2,7,5,16,8
"cell0329",0,2,6,14,18,0,0,5,0,3,0,1,6,0,13,1,0,0,6,1,0,0,5,14,4,4,2,3,2,7,1,7,1,7,0,0,1,0,10,3,1,9,2,17,5,5,2,0,14,7,1,9,7,6,1,7,2,4,5,5,3,0,7,5,12,4,3,0,0,1,6,3,1,2,1,6,0,16,4,15,8,2,17,18,1,5,6,9,3,2,8,4,1,7,2,4,3,1,13,12,4,1,4,14,3,1,2,5,10,0,2,2,3,1,12,11,3,6,1,11,46,28,32,39,45,46,40,32,18,42,59,42,43,40,33,43,26,18,31,60,32,33,39,48,36,51,32,27,22,34,14,31,28,44,10,29,31,34,47,41,1,9,7,0,4,0,6,7,0,12,6,6,12,6,7,0,3,6,7,7,10,14,3,4,2,3,6,3,6,0,2,2,2,0,1,3,10,6,8,13
"cell0330",0,1,7,11,20,4,1,7,6,3,0,0,6,0,6,0,1,1,12,1,0,1,5,19,5,1,4,4,1,9,1,12,2,2,0,0,0,0,12,2,1,19,4,17,4,2,1,0,12,9,2,1,8,2,2,6,3,1,7,2,5,0,2,4,7,5,2,1,0,6,4,4,1,3,0,2,0,14,5,29,3,3,20,29,1,4,1,14,4,3,11,6,2,5,10,10,2,1,10,6,9,0,3,21,3,8,8,7,17,4,3,2,2,1,13,7,2,10,0,8,37,31,52,39,45,38,39,35,31,33,59,27,31,36,16,40,24,18,28,48,31,36,34,32,38,68,37,22,40,54,9,28,25,51,20,29,23,33,48,57,1,11,6,1,2,0,3,3,0,8,6,5,15,4,19,2,2,4,5,5,6,10,7,7,1,6,7,1,7,1,4,2,2,5,1,3,7,2,7,9
"cell0331",0,2,8,16,14,0,0,2,1,2,0,0,9,3,5,2,0,4,5,0,0,1,2,10,3,4,5,5,1,11,1,6,2,2,1,0,1,1,14,0,0,12,8,18,3,0,2,1,7,7,3,9,5,8,2,8,2,3,4,2,1,0,5,3,6,5,2,0,0,5,7,6,2,2,0,7,1,15,6,10,5,3,13,32,2,5,6,11,5,8,5,5,3,5,2,8,2,1,16,10,4,0,12,13,6,6,2,4,9,2,3,2,0,2,10,9,5,1,0,6,47,31,42,45,46,41,44,27,18,48,61,34,37,37,24,56,19,22,37,68,38,50,25,39,27,57,35,23,25,29,20,53,29,40,12,32,22,32,54,38,1,8,8,0,5,0,1,4,2,6,2,11,14,0,18,0,3,3,4,3,6,17,8,6,3,0,3,2,4,1,2,2,2,0,2,1,7,7,3,11
"cell0332",1,1,5,12,18,3,0,3,1,3,1,0,1,0,11,1,2,0,10,0,0,0,4,13,3,2,3,6,0,4,1,11,5,2,1,0,0,0,13,1,0,16,3,18,3,2,3,0,7,10,3,4,9,2,2,12,3,4,5,5,5,0,4,6,12,5,2,1,0,7,4,4,4,2,0,4,0,16,4,15,5,3,7,27,3,2,6,9,6,5,9,4,2,3,3,5,4,1,8,8,6,0,12,13,2,3,1,11,10,5,3,3,6,0,11,4,3,6,1,6,39,21,51,43,43,51,38,32,24,34,61,37,49,39,23,49,15,18,30,59,45,33,38,26,44,47,33,28,26,33,9,26,30,50,17,26,26,28,43,32,2,12,10,0,3,0,5,2,6,9,6,8,10,2,11,0,9,5,6,10,3,11,15,10,1,2,8,2,6,0,6,0,1,3,2,2,3,3,15,9
"cell0333",0,2,4,17,12,0,1,1,1,2,0,2,5,0,11,3,2,0,7,0,2,2,1,20,6,5,1,6,2,5,0,16,3,1,0,0,0,0,11,3,0,18,7,15,0,1,0,1,9,8,4,5,6,5,2,9,2,4,6,1,2,0,8,4,9,2,4,0,0,6,4,6,4,0,0,4,0,17,3,16,5,3,12,26,4,2,4,17,8,9,7,10,0,0,5,5,4,1,9,11,11,0,15,16,2,9,3,10,4,4,6,2,2,2,18,9,2,3,0,7,29,31,48,33,59,52,34,51,19,47,46,37,33,37,36,41,19,20,35,56,33,40,23,31,30,44,31,30,37,33,22,40,26,47,13,26,23,39,44,34,1,7,7,0,2,0,3,3,2,8,5,5,9,4,10,1,4,2,12,17,4,6,3,6,2,1,2,1,9,0,5,0,3,1,3,3,6,3,10,8
"cell0334",1,6,8,13,27,1,0,2,1,3,0,0,6,0,10,2,2,0,16,1,0,0,4,10,7,2,3,2,1,5,1,9,7,6,0,0,0,0,9,3,1,20,4,17,4,3,0,0,9,9,2,3,7,12,1,10,5,5,7,3,4,0,3,2,5,2,1,0,1,2,11,3,2,2,0,4,0,9,7,14,4,4,13,10,2,7,7,15,3,4,4,4,5,5,4,9,0,1,8,10,6,1,7,12,1,3,4,5,8,9,6,1,3,0,13,8,5,8,1,7,36,37,36,41,51,49,33,29,21,48,50,32,39,28,29,62,26,18,38,58,43,61,32,41,42,52,34,26,27,38,18,37,23,41,10,29,25,38,50,44,1,9,12,0,1,1,8,4,4,9,3,10,10,4,13,2,3,6,3,7,5,9,11,8,2,2,7,4,8,1,10,3,4,1,2,4,7,5,11,8
"cell0335",1,2,6,3,10,1,1,3,0,1,1,0,5,1,8,1,0,1,7,0,1,1,4,11,5,1,0,6,2,6,0,10,1,9,0,0,0,0,9,4,1,14,3,18,1,1,2,1,9,5,0,7,6,5,3,8,5,5,5,1,4,0,7,2,7,4,1,0,1,6,5,2,3,1,0,3,0,10,14,20,3,6,12,8,1,8,3,8,5,1,10,6,3,2,3,7,3,1,12,7,11,0,8,17,3,5,1,12,15,7,3,0,4,1,8,9,1,6,0,10,56,32,44,45,44,57,43,53,20,31,56,32,39,44,20,40,21,18,36,74,36,46,26,32,36,48,32,45,24,36,17,35,35,46,11,27,26,31,52,29,1,7,8,0,2,0,4,4,0,10,4,8,14,4,13,1,6,4,3,5,10,8,10,1,2,3,0,1,6,0,7,4,3,3,1,1,7,5,8,6
"cell0336",1,2,6,11,19,0,0,3,1,3,0,0,3,3,12,1,1,3,9,0,0,2,1,27,7,3,2,5,3,7,1,10,4,3,0,0,1,0,12,4,1,20,4,20,1,1,4,0,15,10,1,4,9,8,0,8,3,5,3,1,4,1,6,6,5,4,2,0,0,4,7,5,1,5,0,8,0,20,5,14,7,5,13,20,1,4,5,19,6,5,3,7,2,5,2,8,6,0,7,7,11,0,6,14,3,6,4,3,9,4,3,3,2,0,11,5,3,5,1,10,34,30,54,51,57,48,48,40,16,40,48,34,49,41,26,50,18,23,38,54,41,43,28,37,35,52,32,31,34,24,15,36,35,45,8,33,33,32,42,36,1,8,12,0,2,1,2,6,3,9,2,11,7,7,14,0,3,1,5,8,11,12,6,11,1,5,4,1,3,0,4,5,1,1,0,6,8,7,8,16
"cell0337",0,3,9,14,13,0,2,2,1,4,0,1,8,0,8,1,1,0,14,0,0,1,4,20,9,4,2,6,1,9,0,7,0,5,0,0,1,0,11,4,2,14,4,25,2,3,3,1,9,18,2,5,11,2,0,6,0,0,4,1,5,0,4,4,12,4,5,0,0,7,3,4,2,2,0,7,1,16,7,16,5,5,14,24,1,4,4,10,7,4,9,8,2,5,3,6,2,2,14,10,3,0,9,14,0,5,4,6,12,3,2,2,3,0,9,7,4,2,0,11,42,31,35,41,45,47,42,37,23,41,62,23,44,30,38,56,12,11,38,55,30,49,29,37,28,66,40,25,23,36,13,55,34,45,6,31,26,38,54,44,0,7,11,0,4,1,3,4,3,7,0,7,20,3,17,3,5,5,4,5,2,11,8,9,1,2,4,4,10,0,3,2,1,0,0,2,6,12,11,9
