,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0660,3,2,0,4,1,3,12,2,1,3,2,16,2,0,1,5,0,1,1,0,0,2,7,4,2,9,5,4,1,4,0,6,2,6,0,13,0,4,2,2,5,3,3,2,1,6,4,5,1,3,1,0,0,2,3,0,0,1,3,0,2,2,1,1,0,5,5,1,1,1,1,5,0,5,0,1,5,4,1,3,3,3,5,2,1,3,7,2,5,12,0,9,7,2,0,2,1,1,1,3,3,1,4,10,4,0,0,5,3,55,9,2,7,2,0,1,2,3,10,6
CELL0661,13,16,5,6,3,3,78,4,6,1,7,1,3,1,4,2,0,6,4,0,4,7,12,2,2,3,5,6,14,3,0,4,2,7,0,3,0,3,0,2,72,5,2,1,1,0,3,9,2,3,1,10,13,2,2,1,214,2,5,2,55,2,1,4,6,4,6,4,4,3,2,2,15,6,0,2,8,4,15,5,1,1,6,6,0,0,5,3,2,6,1,6,4,76,35,5,3,1,1,2,5,9,3,12,1,2,3,4,3,0,6,2,1,4,63,2,1,4,0,4
CELL0662,1,2,2,1,9,6,49,6,3,3,4,3,16,0,2,2,0,5,1,3,0,8,5,10,3,14,9,1,14,5,0,1,3,0,0,9,0,5,0,2,182,1,5,5,0,0,0,1,0,4,3,16,297,8,2,0,86,1,6,8,174,0,0,1,5,6,1,2,30,2,0,3,17,5,0,8,19,54,0,1,3,4,6,2,3,1,1,1,2,27,3,8,2,152,70,103,4,6,0,5,5,1,6,13,0,2,1,9,4,0,3,2,1,6,81,0,0,6,0,1
CELL0663,2,6,0,0,5,10,192,2,2,0,0,13,52,0,1,2,0,14,1,0,4,2,4,2,1,2,29,1,28,10,1,1,3,2,2,6,0,7,0,2,334,1,1,4,0,0,0,4,1,5,1,3,386,6,8,0,164,0,2,7,360,0,13,3,3,2,0,2,72,1,1,31,47,17,0,5,0,189,1,1,3,2,3,2,2,0,1,2,2,92,0,41,0,390,71,352,0,5,2,4,2,0,84,134,1,2,138,1,3,0,4,0,0,2,30,15,2,6,0,2
CELL0664,4,2,4,4,1,2,7,5,6,1,9,2,0,2,2,9,9,5,2,3,3,1,1,11,1,5,2,0,2,8,2,5,3,5,0,4,7,1,3,2,0,3,4,10,11,1,111,8,1,4,11,2,0,2,3,1,2,0,2,1,0,2,2,4,5,2,22,2,0,2,6,4,0,9,5,12,3,1,2,2,1,0,5,0,1,7,8,4,8,5,4,7,60,0,2,0,0,6,0,1,1,3,4,11,1,2,0,3,3,37,5,3,63,2,1,0,1,5,1,2
CELL0665,0,0,0,1,2,2,5,2,1,3,0,5,1,1,0,6,0,1,2,1,0,2,2,2,1,1,1,3,5,0,3,0,1,2,0,5,0,4,0,3,47,2,8,2,2,0,1,5,0,1,8,0,6,1,4,0,18,2,4,2,44,2,0,7,7,2,2,1,5,0,0,3,0,4,0,1,8,5,0,1,0,5,0,1,2,0,0,4,6,10,1,5,2,28,5,62,1,4,2,1,3,4,0,7,2,5,5,0,8,0,4,1,3,1,11,0,3,7,1,2
CELL0666,1,3,7,5,0,1,5,5,3,2,4,3,2,1,1,1,0,4,2,2,1,5,4,0,3,4,0,3,6,7,1,2,4,5,0,5,0,5,0,5,79,2,1,4,6,3,0,6,1,4,8,5,8,14,1,1,211,1,1,4,42,12,1,6,4,8,5,2,7,0,6,3,7,12,0,4,15,8,5,0,3,3,2,0,0,1,9,10,2,4,2,2,1,48,16,31,4,0,1,3,1,6,4,1,1,4,1,1,4,1,5,1,3,2,12,1,1,5,0,3
CELL0667,1,0,24,2,6,28,1,3,5,0,4,21,0,0,0,9,0,0,4,0,1,2,7,3,0,1,3,2,2,3,1,13,1,4,3,2,0,3,0,2,9,1,4,2,3,1,5,2,2,4,6,1,2,5,1,1,45,4,1,0,2,3,0,20,3,2,8,1,0,4,5,3,3,0,1,2,74,1,16,0,4,3,4,0,4,0,7,3,8,2,2,14,16,4,3,1,3,5,3,1,1,33,5,0,1,2,0,1,9,8,8,0,13,2,1,0,4,4,0,2
CELL0668,5,5,2,6,2,3,4,12,16,7,16,11,1,1,0,3,23,3,4,1,1,9,2,6,5,6,2,2,2,12,0,13,1,2,0,2,6,6,4,0,1,2,4,6,10,2,47,11,3,5,40,7,0,3,1,6,127,2,2,0,1,8,1,11,3,8,35,7,2,12,43,0,0,6,2,5,57,0,46,1,9,6,7,0,4,0,51,3,6,0,5,0,306,2,1,0,6,6,1,2,5,145,1,2,3,2,1,13,3,9,4,2,58,4,11,0,4,6,0,1
CELL0669,6,8,1,1,21,6,5,6,4,1,1,5,6,5,0,6,0,4,5,5,0,8,5,7,1,3,8,5,3,1,7,1,6,2,1,8,0,5,0,0,37,3,3,0,2,6,8,1,1,7,2,5,86,6,8,0,0,1,2,5,34,0,2,2,2,1,1,5,10,2,3,26,11,9,0,6,2,83,1,4,4,4,4,1,2,4,0,2,3,74,1,16,2,18,1,30,5,2,0,1,1,0,25,98,3,1,6,8,7,0,10,8,7,8,6,8,0,11,6,0
CELL0670,1,5,0,2,0,9,8,2,2,4,4,9,7,1,0,3,2,4,3,0,2,3,2,9,1,4,0,2,3,4,5,2,2,3,0,7,1,2,1,4,12,2,1,2,3,3,0,15,0,3,9,1,1,3,1,1,147,3,2,4,8,10,0,7,2,3,15,3,6,2,3,0,5,10,0,2,133,0,5,1,1,3,5,0,2,0,3,2,0,2,2,0,11,29,17,6,2,1,1,0,0,78,0,0,5,3,5,3,6,0,0,3,0,3,23,3,4,0,0,4
CELL0671,1,0,0,1,4,2,42,13,2,1,0,12,5,1,1,3,0,0,2,2,3,9,6,7,4,3,7,0,2,3,3,0,3,2,1,7,0,1,0,1,330,2,0,4,1,5,0,6,1,1,0,4,103,5,2,0,36,1,3,21,310,0,3,0,0,0,1,5,22,2,0,39,10,7,0,3,5,49,0,4,1,2,5,0,0,0,0,2,3,14,3,23,0,272,6,297,5,0,2,2,5,0,27,41,2,2,26,2,1,0,3,0,0,4,12,6,0,2,1,1
CELL0672,3,10,48,8,0,16,19,0,7,3,4,32,12,0,0,11,0,2,2,0,0,7,4,13,1,8,0,4,4,9,1,6,1,11,2,4,0,3,0,3,77,7,6,2,8,2,0,8,3,0,199,3,8,3,1,13,593,3,11,6,349,6,1,32,4,28,61,7,25,3,21,0,0,10,0,2,572,0,128,9,4,5,3,2,6,0,27,2,2,2,3,3,20,223,210,6,5,3,2,4,14,580,1,0,0,1,1,10,4,0,3,3,3,10,348,1,2,3,0,5
CELL0673,3,7,4,14,12,17,25,1,4,1,3,6,69,3,1,10,0,11,2,2,3,4,13,10,2,5,0,4,25,4,10,8,4,1,2,8,0,4,0,3,44,1,4,6,2,0,0,3,4,6,5,4,355,4,2,0,80,3,6,12,116,1,0,25,3,0,12,2,57,4,1,21,74,4,0,12,146,60,1,8,4,6,9,3,5,1,0,3,17,29,2,2,0,66,144,21,4,7,6,6,4,47,12,24,2,1,1,5,7,0,11,0,1,2,93,1,3,16,1,6
CELL0674,3,10,5,4,34,21,53,1,6,0,0,2,14,1,2,2,0,7,3,10,2,27,19,11,3,10,5,1,6,4,4,5,3,4,0,7,0,8,0,7,363,5,6,9,0,10,4,11,5,5,2,7,845,7,8,0,17,1,5,13,145,3,1,0,8,1,0,3,25,3,1,30,143,7,1,3,8,845,3,5,8,1,15,5,1,2,0,7,9,53,2,89,0,341,13,458,6,3,4,4,10,0,36,103,5,5,2,19,6,0,4,3,5,6,76,3,5,4,8,13
CELL0675,4,1,6,3,2,9,3,0,17,5,22,2,2,0,1,7,11,3,3,0,2,3,3,3,0,2,0,3,16,3,1,17,3,4,0,4,8,5,0,0,1,1,2,7,6,1,1,3,4,0,11,2,6,2,1,14,113,4,2,1,2,6,0,2,4,2,21,6,1,1,34,0,3,1,3,1,266,0,23,1,4,1,3,3,2,0,17,1,5,0,1,1,29,5,96,0,1,1,2,1,10,88,0,1,1,1,0,1,2,0,5,2,10,0,136,0,0,4,0,1
CELL0676,1,5,1,1,12,2,2,12,0,2,1,2,1,2,2,1,6,6,3,0,1,1,4,2,1,5,2,1,1,3,2,1,0,1,1,0,3,0,0,1,5,3,3,1,6,0,31,6,0,4,6,5,0,1,2,6,5,2,0,0,1,1,4,2,3,3,3,7,0,4,4,5,0,17,2,2,1,0,4,2,2,3,5,0,0,0,2,3,6,1,0,0,15,0,0,2,7,6,0,1,4,0,1,2,0,0,2,2,7,15,2,0,31,7,0,1,4,1,2,1
CELL0677,1,1,3,2,0,4,2,2,0,1,4,4,1,0,0,4,0,7,6,0,2,1,4,1,2,1,1,2,5,0,2,1,1,2,0,1,0,2,1,1,18,4,2,3,1,0,0,5,1,4,4,2,11,3,1,1,44,0,5,0,16,2,0,1,6,2,4,3,5,1,4,0,4,13,0,2,6,1,2,4,3,1,1,1,0,0,1,3,5,3,0,2,1,16,3,12,7,4,1,0,3,4,3,0,0,1,3,3,4,0,2,1,2,2,7,0,2,2,2,2
CELL0678,7,8,1,1,4,3,2,2,0,0,1,4,6,0,2,9,0,7,4,0,1,3,2,7,5,5,8,4,12,1,0,0,2,1,1,2,0,1,0,3,69,2,2,3,1,0,0,1,1,6,1,3,109,2,3,0,17,1,1,2,445,0,0,1,5,2,1,3,4,0,1,27,67,15,0,6,1,395,0,3,2,2,6,9,0,1,0,3,2,55,0,26,0,365,15,273,6,3,1,4,0,0,31,81,0,4,0,5,7,0,3,2,1,7,27,1,3,9,0,3
CELL0679,2,4,2,1,1,1,17,1,1,4,1,2,13,1,2,7,0,3,4,0,0,5,3,3,2,1,4,2,6,5,1,2,0,2,1,3,0,0,0,1,71,3,4,2,0,0,0,3,0,3,0,1,28,2,1,0,30,1,1,6,73,0,1,2,5,0,0,2,7,0,0,5,11,5,0,1,5,40,0,0,0,4,6,2,4,0,0,3,1,5,1,21,0,53,10,137,2,2,5,2,3,0,5,8,1,6,5,0,0,0,0,0,0,1,9,2,1,5,2,2
CELL0680,4,24,11,1,3,3,33,2,0,1,1,11,9,3,0,5,0,2,2,0,0,5,10,3,1,3,1,1,13,6,1,0,1,2,0,7,0,6,0,1,352,3,1,3,4,0,0,2,2,2,3,10,66,3,0,0,146,2,1,4,398,0,1,7,4,3,3,0,22,2,0,3,20,14,0,5,17,48,0,1,11,3,2,0,1,0,0,0,1,71,2,16,0,353,66,336,1,3,1,2,1,5,4,62,3,3,15,2,4,0,5,0,4,6,26,1,0,9,0,3
CELL0681,0,7,8,3,9,2,28,7,3,3,1,1,3,0,1,3,0,4,2,1,2,6,2,3,0,2,5,2,2,7,3,1,1,2,1,4,0,6,1,2,18,3,4,4,1,1,11,0,1,7,8,3,0,3,7,1,40,1,5,12,13,1,28,1,2,11,3,1,3,3,3,4,0,19,0,9,2,4,1,1,5,6,2,0,2,0,5,4,3,2,0,5,4,23,3,6,5,4,0,2,5,0,1,0,1,0,3,4,5,1,0,0,3,5,3,5,2,2,0,2
CELL0682,0,2,1,12,3,0,3,8,6,1,14,6,1,1,0,1,1,5,3,0,1,6,4,1,0,4,2,1,1,3,1,1,1,3,1,7,0,3,3,3,0,3,3,1,3,2,50,4,2,1,10,2,0,2,3,0,1,1,1,1,0,2,17,0,1,1,6,4,0,2,4,1,0,7,0,2,1,0,4,3,1,2,2,2,3,5,4,0,7,2,1,3,29,2,0,0,6,1,1,1,1,0,2,4,1,4,4,1,4,10,4,2,17,4,0,8,1,5,25,1
CELL0683,5,19,10,1,3,12,10,2,2,4,1,6,6,0,4,3,0,7,0,0,1,4,3,5,0,0,1,3,22,7,2,0,0,0,1,8,0,4,0,9,22,2,2,3,4,0,1,2,3,1,2,6,13,4,0,1,12,3,2,1,35,4,0,14,4,3,12,5,14,2,5,0,7,0,1,6,82,41,8,2,6,2,3,1,3,1,1,2,6,5,1,6,0,26,26,18,4,2,2,4,7,3,7,6,1,7,4,2,4,0,6,1,3,5,16,2,3,10,1,1
CELL0684,2,1,1,3,2,0,6,5,6,4,1,14,4,5,3,6,0,4,11,1,1,5,6,1,0,3,2,5,2,6,5,2,2,0,0,4,0,3,0,0,33,5,6,3,0,2,10,4,3,14,9,3,1,9,4,0,84,4,4,0,242,1,9,4,2,16,5,2,2,5,1,2,2,26,1,6,5,2,1,0,1,3,5,1,2,0,5,2,4,3,4,11,5,137,2,35,3,6,1,2,1,1,29,8,5,7,3,1,15,1,6,1,0,3,3,3,3,7,2,2
CELL0685,6,0,2,3,4,22,2,2,0,4,0,3,1,0,5,3,1,2,4,1,2,1,3,19,1,2,2,1,14,0,1,11,1,2,1,3,8,2,0,1,3,2,4,1,5,0,5,1,1,5,6,6,1,3,1,3,24,1,2,0,3,4,0,6,10,8,23,1,2,0,40,0,0,6,2,6,34,2,2,4,4,3,1,0,1,0,7,2,7,2,1,4,21,0,7,3,2,2,0,5,2,19,1,0,2,3,0,3,3,11,17,2,18,4,3,0,5,9,0,3
CELL0686,13,2,1,1,0,4,4,6,8,6,8,9,2,1,6,7,0,3,3,1,0,2,6,1,1,5,2,2,5,7,1,6,1,3,2,4,5,5,0,2,17,4,3,1,2,1,21,11,1,5,16,9,0,2,4,4,54,1,3,1,9,4,8,6,1,9,8,0,1,1,2,1,1,21,0,2,8,0,5,5,0,4,4,1,2,0,8,2,6,8,1,5,54,19,2,2,3,4,0,3,1,21,0,1,4,1,2,10,5,9,3,6,16,5,1,1,2,5,1,2
CELL0687,4,1,4,2,1,0,0,14,1,0,2,2,1,0,1,4,3,2,1,0,0,1,1,1,0,1,7,1,0,1,1,5,3,1,0,5,8,3,32,3,0,0,0,3,2,3,129,6,2,6,1,1,0,3,8,0,0,1,1,0,0,2,5,1,4,4,9,5,0,0,4,2,0,3,7,4,0,1,2,5,2,2,1,0,1,72,2,1,1,9,1,8,77,1,0,0,0,0,1,5,3,0,5,16,0,3,0,1,2,302,1,4,81,4,0,1,0,7,241,5
CELL0688,0,5,4,7,10,17,0,0,0,1,3,1,2,2,0,1,0,1,0,3,0,0,4,0,1,1,5,2,7,0,0,4,0,1,1,6,0,0,0,2,6,0,1,1,2,0,0,1,1,0,0,5,8,2,1,4,1,1,4,0,4,0,0,2,1,2,2,1,1,0,0,4,3,2,2,1,9,59,0,2,4,5,3,0,2,4,0,2,3,8,1,7,0,4,3,34,0,2,0,0,2,0,5,15,0,1,0,3,5,6,3,1,0,1,3,0,0,3,3,1
CELL0689,8,8,10,9,1,2,14,0,47,1,3,5,3,5,1,1,0,5,3,0,3,7,12,6,6,4,1,0,13,1,2,6,2,4,1,7,0,6,0,3,16,3,3,2,7,1,1,4,1,1,2,8,40,6,0,3,24,1,0,2,9,6,0,11,5,2,41,2,0,0,10,7,6,2,0,4,56,7,9,5,6,1,2,1,1,1,4,10,5,1,3,4,2,5,24,0,8,1,2,4,9,112,4,3,2,1,5,1,4,1,5,0,5,3,27,3,0,21,0,1
CELL0690,1,15,46,48,5,27,3,5,5,4,5,1,3,1,2,2,1,8,1,1,5,11,5,5,2,4,5,3,10,8,2,30,1,5,0,15,2,5,0,4,1,1,1,8,1,0,1,3,1,4,1,10,57,2,0,0,15,0,1,0,1,1,0,19,3,3,1,7,7,3,1,3,8,2,4,6,419,33,2,3,1,3,2,0,5,0,2,4,15,12,0,1,8,6,51,0,4,5,1,7,1,73,4,12,1,1,0,8,1,6,4,3,2,3,19,0,0,2,0,6
CELL0691,1,1,0,6,2,4,3,1,1,11,6,3,6,0,5,9,2,2,2,0,0,5,5,1,0,1,4,0,11,2,1,2,2,3,5,7,0,3,0,2,2,2,2,0,4,0,2,7,1,2,3,1,4,3,1,6,8,4,5,0,4,3,2,3,2,1,4,2,1,2,3,1,1,1,1,6,5,3,2,2,5,2,3,0,1,0,2,1,14,1,1,2,28,12,3,0,6,2,3,1,4,7,0,3,1,1,1,3,5,2,2,3,1,12,4,1,1,5,0,3
CELL0692,6,1,4,6,0,8,2,2,3,4,14,3,0,0,3,1,2,3,1,0,3,3,11,10,1,0,2,0,13,4,4,9,2,4,3,12,4,3,0,3,5,3,2,5,7,1,0,3,0,6,2,3,1,4,1,9,94,0,1,2,4,13,0,13,10,2,6,4,0,4,2,0,3,4,1,5,43,1,6,4,0,5,2,0,0,1,5,4,6,1,1,0,28,8,15,0,5,3,3,3,14,47,0,1,1,2,0,6,1,4,2,1,5,0,7,0,1,7,0,2
CELL0693,3,3,0,8,2,2,1,7,2,18,1,7,1,0,1,3,0,3,2,0,2,3,10,4,0,3,3,0,0,5,1,0,0,4,3,0,0,2,1,2,7,0,5,2,4,4,3,2,2,2,1,2,1,1,2,0,7,3,4,5,4,0,2,0,1,7,1,7,2,3,3,1,1,9,1,2,4,1,0,0,0,4,1,2,1,0,1,4,1,1,1,4,7,12,0,1,4,0,2,2,3,1,2,4,0,2,1,2,2,0,3,2,8,5,3,0,2,3,1,2
CELL0694,3,1,2,7,1,10,5,3,3,2,4,2,0,0,1,4,1,4,4,1,1,3,8,3,1,7,3,0,24,1,2,3,1,0,0,2,0,4,0,4,6,1,4,6,9,1,6,3,2,2,10,2,2,7,0,4,73,0,3,1,19,5,2,1,2,4,4,0,3,3,6,3,2,4,1,0,6,1,8,6,0,13,8,1,0,1,7,0,6,1,5,0,50,16,2,0,1,9,3,3,3,8,2,2,0,1,1,4,1,0,13,2,6,1,10,0,3,1,1,1
CELL0695,15,5,2,2,5,6,6,17,3,2,3,2,1,0,2,3,0,5,5,1,0,4,2,4,0,5,0,0,1,5,3,6,0,6,1,8,1,6,2,0,6,2,2,3,5,1,16,6,2,5,2,3,2,4,2,1,6,0,8,1,2,1,0,1,4,0,2,0,4,3,13,2,1,2,0,6,4,7,0,1,14,2,4,2,4,1,3,7,2,15,1,5,9,4,2,2,1,1,3,2,11,0,2,15,1,1,1,4,11,6,0,4,13,2,4,1,1,5,1,4
CELL0696,3,0,7,3,1,6,3,2,14,4,2,28,1,2,3,2,4,9,1,2,2,1,5,7,0,6,3,2,0,2,3,12,3,4,2,1,130,3,33,4,1,1,4,0,2,6,319,3,3,6,9,2,0,5,6,8,19,0,6,0,0,4,5,2,7,9,12,3,0,0,18,1,1,16,29,5,2,0,10,4,2,0,4,1,2,1,23,3,8,0,0,1,373,0,1,0,1,4,2,0,9,1,3,2,0,5,3,6,3,148,4,16,146,7,1,0,0,3,1,4
CELL0697,0,2,2,4,0,3,10,15,3,2,2,1,0,3,0,2,0,8,1,0,1,4,6,5,3,3,3,4,1,0,1,1,1,5,2,0,1,7,1,0,3,3,3,2,1,2,27,2,1,2,8,3,0,1,3,1,4,0,3,1,5,5,3,7,1,6,9,5,1,3,11,1,0,15,0,2,5,0,4,7,4,0,0,0,2,5,4,1,4,6,2,3,6,5,0,2,2,1,1,1,7,5,3,9,3,2,0,2,4,14,4,1,8,8,0,2,4,3,3,4
CELL0698,0,4,4,0,1,7,10,0,5,4,40,6,8,0,4,1,0,3,1,1,3,5,5,2,0,6,4,0,6,4,0,4,1,1,1,9,0,2,0,3,140,0,3,1,6,0,1,8,1,6,67,1,16,4,0,1,445,0,3,3,154,7,0,7,4,12,22,1,8,1,5,0,2,18,0,7,8,0,10,5,2,4,2,3,1,0,3,3,1,2,5,6,10,57,92,5,2,6,1,3,4,126,2,8,1,0,3,6,2,0,1,4,0,3,139,0,1,5,0,3
CELL0699,1,2,5,7,3,2,5,5,0,2,5,3,3,3,2,10,0,6,1,2,1,3,4,6,1,2,2,2,5,5,3,12,1,1,4,4,2,4,0,7,7,3,3,4,5,0,0,5,2,8,3,4,13,3,3,1,10,0,2,5,3,0,0,2,2,1,0,3,12,3,2,0,5,7,3,3,10,18,3,1,5,5,3,2,2,1,1,4,2,7,4,5,2,3,5,4,6,1,2,2,3,3,3,6,0,2,1,8,4,3,1,1,2,6,7,0,2,3,3,0
CELL0700,0,5,0,4,3,16,2,3,2,2,5,3,0,0,2,3,0,6,1,1,4,3,9,3,2,0,5,4,4,3,4,0,2,2,0,3,0,6,0,4,52,0,2,5,3,0,5,1,1,7,11,3,4,4,3,4,86,2,7,0,19,7,11,4,2,7,16,3,2,2,4,0,4,9,1,1,10,2,2,2,0,3,3,0,4,0,4,3,2,4,2,1,11,13,13,8,3,4,2,2,4,6,2,2,2,0,0,11,3,1,4,0,5,6,10,1,1,2,0,2
CELL0701,1,1,5,11,1,6,7,4,0,10,4,4,2,2,1,1,1,2,1,0,1,2,5,3,1,5,2,5,15,1,1,13,1,3,2,1,2,3,1,6,1,1,2,3,11,2,0,3,1,12,9,3,32,10,0,5,62,0,3,0,2,4,0,13,1,0,6,4,4,2,6,5,2,0,1,3,325,2,2,2,5,0,1,0,4,0,5,2,7,6,2,0,2,3,78,0,10,1,1,1,1,51,0,6,3,0,0,1,8,1,1,2,9,5,51,0,1,9,0,2
CELL0702,0,5,68,17,2,43,10,1,5,9,9,7,2,2,3,5,1,2,1,0,2,3,3,7,4,5,1,2,12,2,3,9,3,3,1,5,2,2,0,1,1,0,3,1,56,1,0,1,4,4,21,1,165,3,0,7,378,9,1,0,2,16,0,74,6,1,29,4,5,3,18,1,30,0,1,4,362,1,65,3,1,2,13,0,2,0,23,4,13,0,2,1,10,7,377,0,6,1,2,4,2,415,1,1,1,1,0,2,5,0,1,1,1,1,350,0,2,6,0,0
CELL0703,0,1,0,2,11,0,2,12,11,2,2,1,0,2,6,8,2,5,1,2,3,0,2,1,3,5,5,10,0,2,6,2,6,0,1,2,0,3,13,2,2,0,2,1,1,0,53,2,6,5,0,1,0,0,10,0,0,0,9,0,0,1,3,1,5,8,2,0,0,1,1,2,2,6,4,3,0,18,0,1,1,4,3,2,1,4,1,1,2,5,1,1,7,1,0,0,4,2,2,5,2,0,1,3,1,2,0,4,1,43,7,7,44,2,0,0,3,8,10,1
CELL0704,2,8,0,2,3,3,23,0,0,2,5,9,5,0,1,11,0,2,4,1,2,6,11,10,2,4,5,1,5,6,2,0,1,6,0,8,0,1,0,2,21,4,2,2,3,2,4,7,2,7,1,3,5,3,2,0,21,3,2,2,30,1,10,2,4,4,2,4,9,2,2,7,4,11,0,3,2,6,0,2,1,5,4,1,1,1,2,3,12,2,4,22,6,37,5,62,4,1,1,1,9,0,13,4,2,2,17,3,4,1,4,3,2,4,0,2,1,5,0,3
CELL0705,2,4,1,0,2,0,3,1,0,3,0,5,4,0,2,5,0,3,1,2,1,2,5,2,0,5,4,1,3,3,5,2,0,0,0,1,0,3,0,0,1,1,2,1,0,1,0,5,2,1,1,2,100,3,0,0,17,0,6,2,11,0,0,7,1,3,11,6,4,1,2,1,3,3,1,1,7,14,4,2,4,0,4,0,2,2,1,3,0,13,2,4,3,4,25,12,2,2,1,1,1,3,3,7,2,0,1,1,3,0,1,1,4,5,15,0,0,5,0,1
CELL0706,3,3,6,2,0,2,28,5,7,1,6,4,1,3,4,5,1,1,0,1,1,3,5,5,3,3,1,2,2,3,2,1,1,0,2,3,0,6,0,1,4,0,1,1,5,3,6,8,3,4,5,10,1,7,0,2,25,0,0,0,10,10,2,3,7,9,13,5,0,2,9,2,1,5,0,8,19,0,6,0,6,3,1,1,4,0,1,6,2,3,1,1,47,4,9,2,4,3,0,2,3,13,0,2,3,3,2,0,8,1,4,5,16,7,3,2,1,6,0,0
CELL0707,6,9,0,4,5,8,23,2,3,0,1,3,19,2,0,8,0,2,2,1,5,4,7,3,2,7,1,0,9,6,4,0,1,4,1,6,0,5,0,1,143,1,2,1,1,3,0,3,0,1,8,1,7,0,4,1,18,0,8,5,128,1,7,5,9,4,4,0,5,0,7,14,0,11,0,4,3,11,5,1,15,3,1,2,1,0,1,0,5,9,0,7,0,117,6,21,2,1,0,2,2,0,7,20,0,2,2,4,2,0,3,0,1,5,7,2,3,7,0,1
CELL0708,7,1,2,8,13,4,4,24,0,2,18,1,0,3,3,7,3,3,4,0,2,6,5,9,3,5,0,4,1,12,9,3,6,2,0,4,2,7,10,1,2,5,6,0,8,1,453,15,2,5,3,4,0,5,4,2,0,4,5,0,0,10,15,9,7,23,28,8,1,0,17,1,0,11,14,4,1,3,3,3,13,1,7,2,2,15,7,6,9,8,2,7,93,5,0,1,2,3,2,3,2,1,4,7,1,5,0,2,6,362,15,9,36,0,0,3,1,4,4,2
CELL0709,1,0,4,3,0,1,1,1,0,1,12,0,1,3,1,2,0,4,0,0,0,7,2,2,0,2,1,0,1,1,0,6,0,3,2,4,4,1,2,0,3,3,2,1,4,0,9,1,3,1,21,3,1,3,3,3,11,3,1,1,0,21,1,4,6,7,8,0,0,1,7,0,0,0,2,5,10,0,25,1,0,3,0,2,5,0,21,2,3,1,1,1,85,0,1,0,1,2,0,3,1,22,1,0,2,0,0,0,0,1,4,3,14,3,0,0,3,0,0,5
CELL0710,1,2,59,15,3,2,0,0,3,1,6,0,3,0,3,5,26,1,0,1,1,3,2,0,2,2,0,1,7,4,0,43,2,1,3,3,13,3,0,7,2,3,2,2,4,0,0,0,3,0,1,5,135,1,0,9,2,1,5,0,0,3,0,41,3,3,57,3,1,1,23,0,12,0,6,5,282,1,15,1,12,3,4,0,1,4,5,0,2,0,0,0,14,0,111,0,1,0,1,1,4,297,0,0,0,1,0,2,1,1,2,2,3,2,42,0,1,2,0,0
CELL0711,4,4,2,5,18,1,16,0,0,1,1,2,6,0,1,2,0,5,0,0,2,3,3,3,1,2,3,4,10,1,0,0,3,0,0,5,0,2,0,2,68,3,1,3,1,1,2,6,1,1,0,3,12,1,2,0,1,1,0,3,67,0,3,0,5,0,2,1,6,0,3,11,4,11,0,3,2,80,1,0,9,6,7,2,5,0,0,2,3,39,2,13,0,84,0,67,4,3,0,1,5,0,7,33,3,1,3,0,2,0,2,2,1,8,0,3,0,7,2,1
CELL0712,3,2,2,9,9,3,11,16,2,2,2,3,0,3,4,4,1,10,3,2,1,1,7,5,1,3,0,0,4,9,0,11,0,2,0,6,0,1,3,1,3,0,6,3,4,6,53,3,0,3,3,3,0,6,0,0,0,1,16,0,3,0,8,1,2,1,8,0,1,2,7,3,0,2,2,5,3,0,1,6,10,4,4,1,2,16,1,8,10,13,0,3,6,3,0,0,10,0,2,2,6,0,6,16,3,2,1,3,6,183,4,2,23,12,1,1,1,9,9,0
CELL0713,2,6,1,6,0,2,3,1,6,4,4,5,0,1,0,3,0,4,5,0,0,2,5,2,6,8,1,1,4,2,0,1,3,5,2,4,0,9,1,4,10,1,3,5,9,0,5,4,1,3,15,4,0,6,2,4,37,0,5,0,3,2,1,5,2,0,12,3,1,0,4,0,7,6,2,26,22,1,7,5,3,4,5,1,0,0,2,0,3,3,1,2,24,13,7,2,5,3,2,2,3,4,0,9,1,1,0,3,4,2,6,4,12,3,17,0,1,4,0,6
