# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0241,5,1,11,10,31,1,12,4,2,4,7,4,29,5,17,0,1,6,0,0,1,3,12,22,0,18,5,0,15,5,2,0,26,0,1,15,101,5,1,1,8,4,5,2,13,1,2,1,8,3,1,0,0,9,6,4,4,4,2,4,14,4,13,9,1,1,4,5,0,0,1,0,13,4,1,0,4,9,0,1
CELL0242,40,30,3,12,7,12,7,0,19,13,2,13,2,3,0,1,7,2,16,1,0,0,3,10,5,4,19,30,0,55,6,21,7,5,0,3,4,4,5,2,29,27,2,0,3,7,7,12,1,27,28,20,7,5,3,2,3,7,12,4,3,9,2,4,9,1,4,3,15,0,24,32,0,2,4,16,4,11,7,2
CELL0243,3,2,2,5,2,1,5,2,4,9,4,3,7,0,8,1,12,10,5,6,5,1,7,8,6,2,13,0,4,14,0,1,0,2,6,4,0,3,1,1,1,2,2,20,2,1,2,3,2,8,26,1,4,8,3,0,14,1,0,11,4,2,3,5,5,3,14,3,3,5,0,0,3,22,15,7,3,3,2,16
CELL0244,3,0,5,2,2,1,1,1,1,6,5,2,7,2,3,2,14,3,5,14,0,0,8,4,3,0,17,2,2,5,0,5,0,0,3,2,0,3,0,0,1,3,0,27,2,1,3,3,1,5,13,0,3,4,0,1,7,2,0,9,2,1,4,2,4,0,12,1,0,1,4,0,6,18,22,4,1,2,2,14
CELL0245,7,4,3,5,14,2,4,2,7,19,12,8,23,1,7,2,30,22,5,25,8,0,11,5,5,7,40,4,3,25,0,8,1,2,12,3,1,6,0,2,5,3,3,49,7,3,3,6,2,23,41,5,9,9,3,1,35,8,2,28,9,5,8,14,6,16,21,10,3,6,11,0,1,23,31,4,3,6,4,25
CELL0246,7,4,11,11,52,0,20,4,13,7,9,3,42,12,17,10,1,4,2,1,1,5,5,41,0,16,14,0,23,5,2,1,39,4,1,28,162,16,4,2,12,8,6,3,10,1,5,3,5,7,7,0,2,10,3,4,2,9,5,6,17,7,12,12,2,4,1,8,1,9,5,0,10,7,3,1,5,32,4,1
CELL0247,3,2,10,10,34,0,6,4,11,10,2,2,38,9,11,7,1,7,2,1,2,3,11,25,1,13,16,0,17,4,1,0,21,1,1,13,85,7,1,1,8,5,0,2,9,0,1,3,9,4,6,2,0,8,4,5,5,6,3,4,8,5,17,6,4,3,2,9,0,2,2,0,11,4,1,0,4,13,0,1
CELL0248,7,4,16,40,25,11,4,4,10,29,2,17,2,7,6,10,0,4,4,23,5,3,29,17,1,13,12,6,6,1,13,4,4,4,1,3,2,8,9,0,14,4,31,1,2,7,1,18,2,18,0,16,8,32,2,3,30,1,3,5,112,6,19,1,35,43,14,1,4,8,3,90,0,2,21,80,1,9,3,11
CELL0249,3,2,3,5,5,1,3,1,4,4,4,1,5,2,6,0,9,4,4,10,4,0,9,7,2,1,23,1,2,7,0,0,0,2,3,2,0,2,0,1,1,2,1,23,1,0,4,3,0,5,23,2,4,5,3,0,10,4,0,13,3,2,7,2,0,5,10,4,1,4,4,0,4,12,19,5,2,3,5,12
CELL0250,17,13,0,6,2,5,6,0,10,6,2,3,2,4,2,1,8,1,7,1,1,0,0,7,3,1,12,17,1,36,1,7,3,2,2,2,3,4,4,2,17,8,1,1,0,3,1,8,1,16,13,4,4,1,1,0,2,1,10,4,2,1,0,1,7,0,2,1,7,1,4,11,1,0,4,8,1,8,4,4
CELL0251,6,0,8,16,36,0,7,2,9,5,9,4,40,5,21,5,2,2,1,0,2,4,13,37,1,6,11,1,15,4,4,2,32,2,4,20,133,12,3,3,10,9,1,4,15,2,0,9,4,8,6,3,4,4,2,4,8,7,8,3,8,5,21,15,7,2,3,4,0,5,4,0,9,6,4,0,2,22,3,0
CELL0252,1,5,0,0,8,2,0,16,1,0,0,0,12,3,21,0,1,2,0,8,33,7,1,0,0,3,1,2,0,4,3,2,4,1,1,2,2,2,4,4,8,0,2,7,0,3,11,10,2,1,2,1,4,6,17,4,0,0,8,2,17,10,18,11,13,7,12,0,1,6,4,12,2,1,2,1,15,16,3,1
CELL0253,4,1,5,15,38,0,9,4,13,2,13,2,40,10,14,2,2,6,0,2,2,6,16,25,4,19,15,0,12,7,1,2,38,1,1,23,122,6,3,1,8,8,2,6,13,0,3,6,7,7,8,1,2,7,4,8,3,7,5,2,12,3,14,11,1,4,2,2,0,3,3,0,12,3,1,1,7,21,3,2
CELL0254,4,2,11,13,6,5,0,3,4,12,5,4,0,2,5,3,0,2,5,6,0,2,17,8,0,8,6,2,1,2,12,3,2,2,0,1,0,1,4,0,7,4,19,1,0,2,0,4,4,6,1,4,3,12,3,2,8,1,0,5,48,4,13,0,15,14,6,1,2,4,0,30,1,0,6,34,1,1,2,6
CELL0255,5,4,5,9,43,0,9,1,10,4,4,1,34,6,25,2,2,5,1,0,0,6,14,33,2,13,17,0,10,3,0,1,35,2,3,22,133,2,4,3,6,5,2,3,11,1,1,2,4,6,9,4,2,5,8,4,2,5,6,5,14,7,19,6,2,0,3,2,0,5,2,0,9,5,0,0,7,14,2,2
CELL0256,3,7,7,6,9,0,1,1,10,8,9,4,19,1,7,2,20,12,14,28,8,0,9,9,6,5,35,11,3,14,0,3,1,1,6,5,3,0,0,1,3,1,3,36,4,2,2,7,0,18,38,4,1,5,2,2,13,1,2,18,6,3,9,7,6,14,22,5,4,4,2,1,4,29,26,5,2,2,1,35
CELL0257,6,3,7,5,8,3,2,0,5,8,8,6,8,2,8,0,20,9,8,16,5,1,7,8,3,3,21,2,6,15,1,1,0,4,7,6,1,2,0,1,0,3,4,28,4,5,6,7,0,13,31,0,2,8,2,2,19,4,1,13,0,2,2,7,2,9,18,5,2,4,4,0,2,20,26,9,3,1,1,23
CELL0258,4,11,1,2,9,8,0,17,2,0,0,0,7,1,25,2,1,1,3,6,25,13,2,2,2,2,0,2,0,0,11,0,2,0,2,0,1,1,3,1,7,0,3,10,1,7,20,6,1,0,3,1,11,4,28,4,0,1,10,6,16,9,22,17,15,4,10,3,4,15,6,15,4,0,4,2,21,10,0,7
CELL0259,4,1,1,6,3,2,2,1,6,7,8,5,11,1,6,1,12,6,4,21,5,1,8,12,2,3,27,2,3,8,0,1,2,4,2,1,3,3,1,0,2,2,3,18,3,0,1,5,2,10,23,3,6,4,1,1,7,1,2,13,4,0,8,5,5,3,13,3,3,1,3,1,1,19,20,6,1,6,5,14
CELL0260,1,14,6,3,9,5,0,15,3,1,0,2,9,2,39,4,1,6,4,7,33,11,7,1,2,2,1,2,0,5,8,2,5,1,7,2,4,2,5,5,7,0,2,3,2,6,16,25,1,0,2,0,14,7,21,3,1,2,6,1,18,16,31,12,21,11,11,0,7,12,3,19,2,1,2,2,24,12,4,10
CELL0261,11,4,18,16,20,10,4,4,14,17,3,3,1,10,4,3,2,2,1,23,3,5,34,10,1,9,10,2,1,4,9,5,4,1,1,0,0,3,7,0,14,2,26,0,3,7,0,10,8,7,0,14,4,23,2,2,29,0,1,7,116,8,18,2,32,20,15,3,2,4,1,89,1,3,5,45,4,3,4,7
CELL0262,6,13,0,6,10,9,1,21,5,0,0,0,9,2,32,5,3,7,7,10,48,21,2,0,3,4,0,0,1,7,15,4,1,1,6,2,2,4,4,3,4,1,4,6,3,9,16,28,4,2,5,1,12,11,20,5,0,4,19,11,35,27,33,12,20,11,17,0,6,10,8,18,0,2,2,4,31,18,4,10
CELL0263,35,27,1,7,1,14,4,0,23,8,1,4,4,2,2,2,8,2,10,0,1,1,1,5,3,1,16,25,0,35,4,12,2,4,3,4,1,2,2,0,12,17,1,0,8,2,1,10,0,25,27,16,8,3,1,0,4,1,13,6,1,15,1,3,3,2,1,5,8,1,13,17,1,1,1,16,1,16,6,1
CELL0264,6,1,9,17,18,5,4,2,9,21,3,6,2,5,8,5,0,2,5,7,3,2,20,12,0,9,14,1,2,2,10,5,4,2,0,1,5,6,0,0,10,2,16,1,1,4,0,7,3,3,0,5,6,16,1,4,15,1,1,3,59,7,13,0,30,20,19,1,6,3,4,52,1,1,6,41,1,4,1,5
CELL0265,5,3,7,15,5,1,3,2,9,9,7,9,10,0,8,1,22,9,3,20,1,0,11,3,2,1,31,1,4,13,0,3,2,0,10,5,1,6,0,1,4,2,4,29,5,3,2,5,2,13,26,2,6,8,1,1,15,0,2,18,1,2,6,6,2,7,14,9,4,3,6,1,5,19,31,6,0,2,4,28
CELL0266,1,2,15,15,12,6,3,2,5,21,2,6,3,5,2,4,1,1,3,11,2,1,10,8,3,7,6,0,3,4,5,4,3,2,1,0,3,5,7,0,7,2,10,0,0,4,1,4,1,6,0,10,4,18,1,0,15,1,3,11,70,3,8,0,17,11,14,0,4,6,2,47,0,1,10,27,0,2,2,3
CELL0267,10,4,24,22,18,6,6,4,9,29,2,10,6,9,5,8,4,4,8,22,6,6,30,20,3,24,17,4,6,4,11,5,13,9,1,0,4,6,3,0,21,3,31,0,0,6,1,10,7,7,2,15,12,27,1,8,28,1,0,6,120,12,14,0,35,37,15,0,6,14,3,104,3,3,14,78,1,4,8,11
CELL0268,6,5,18,12,12,6,1,0,5,27,4,8,4,10,4,2,3,9,4,21,2,5,28,16,5,13,11,6,8,1,10,9,8,2,0,1,2,5,7,0,13,2,27,0,0,5,2,11,3,7,1,12,8,28,3,5,25,2,1,10,92,7,15,1,31,29,22,4,4,7,2,68,1,2,9,54,2,3,8,10
CELL0269,2,3,3,2,4,0,2,1,1,4,5,0,6,0,7,0,10,6,4,9,2,0,2,2,3,1,18,9,0,8,0,1,1,0,2,1,1,0,0,0,1,0,1,8,2,1,1,2,2,4,8,0,2,6,0,3,5,0,1,8,7,1,5,3,4,7,11,3,1,2,3,0,2,14,16,4,0,0,1,9
CELL0270,5,0,9,16,10,4,2,5,8,14,6,5,0,8,3,4,1,2,1,6,2,0,17,8,4,5,10,5,0,3,8,6,1,2,0,1,1,3,1,0,10,0,20,1,0,4,1,4,2,10,0,7,6,16,1,3,9,2,1,11,65,6,13,0,18,14,11,1,2,11,1,47,1,1,8,37,0,1,2,3
CELL0271,2,3,14,16,17,9,1,5,9,15,5,6,1,10,3,3,1,5,7,9,5,1,12,14,0,11,7,2,4,3,3,3,5,5,0,0,4,6,3,0,10,1,16,0,1,3,0,7,3,6,0,6,9,17,3,4,19,1,1,4,73,4,11,1,17,26,17,0,6,10,2,67,2,1,7,47,0,5,3,8
CELL0272,2,5,14,23,37,0,8,4,13,4,8,2,35,6,30,5,2,1,2,0,1,10,12,29,2,23,13,0,14,5,0,2,42,1,0,16,132,4,7,9,10,10,2,3,15,1,2,1,5,3,4,3,2,6,6,0,2,15,5,5,4,5,7,9,0,3,4,3,0,7,3,0,8,3,1,0,5,21,1,1
CELL0273,3,0,7,7,7,0,5,2,4,7,4,7,12,0,8,1,18,7,9,27,11,1,8,14,3,3,14,8,2,12,0,2,1,1,7,5,3,4,0,3,1,5,3,28,7,5,5,2,3,18,32,1,10,12,1,0,17,4,1,21,5,4,5,8,6,7,19,4,1,3,6,0,3,19,21,11,5,2,3,20
CELL0274,4,4,1,3,12,2,0,12,0,0,0,1,7,2,24,3,0,4,2,5,26,7,1,0,1,1,0,1,0,4,7,0,1,2,3,0,0,1,4,3,6,2,3,4,1,6,13,11,2,2,0,0,8,5,13,5,0,0,6,5,17,8,25,8,11,4,11,0,4,6,10,4,0,0,5,0,18,5,1,3
CELL0275,6,11,0,0,14,4,1,15,8,2,1,0,8,3,35,1,1,3,2,8,36,16,1,2,2,1,2,3,0,2,9,1,4,0,5,1,0,2,5,5,7,1,5,3,1,11,19,18,2,0,3,2,14,12,22,3,1,1,8,7,35,10,30,17,20,15,16,0,5,15,8,14,0,0,3,3,17,13,5,6
CELL0276,3,2,6,17,33,2,12,5,5,5,10,4,27,4,15,1,0,4,1,1,4,3,10,34,0,10,9,0,16,2,1,0,26,2,0,16,112,7,5,2,12,6,3,2,5,1,1,0,5,5,7,2,2,7,5,3,5,7,5,6,10,5,11,6,2,2,3,3,0,7,2,1,10,3,0,0,2,14,2,1
CELL0277,3,1,6,4,2,2,1,0,6,14,4,3,9,1,5,2,18,7,9,16,3,1,6,5,6,5,20,2,1,10,0,1,1,2,8,3,0,2,0,3,5,2,2,18,2,3,1,3,1,11,14,2,8,9,3,0,9,1,1,14,6,2,8,7,3,3,11,2,1,6,0,0,0,19,17,7,0,3,1,11
CELL0278,19,18,0,11,5,13,6,0,24,9,2,7,0,3,0,0,10,1,10,1,2,4,0,6,2,0,8,33,1,46,2,13,5,5,1,6,1,2,4,0,14,27,1,0,4,4,4,11,2,20,21,20,10,3,0,0,5,5,6,4,0,11,4,2,5,1,1,4,11,0,13,33,4,4,2,17,1,18,5,5
CELL0279,5,3,10,18,35,0,10,0,8,9,13,4,31,6,19,4,1,4,1,0,1,5,6,28,0,11,12,1,22,3,0,0,37,0,2,13,107,11,1,2,8,11,5,0,9,0,2,1,6,4,6,1,1,10,6,2,4,9,1,2,9,5,15,11,3,1,3,0,0,1,0,0,10,5,1,1,5,16,3,1
CELL0280,8,4,25,30,18,8,6,5,8,28,8,8,4,10,5,7,3,2,6,20,4,3,26,12,0,7,12,3,7,3,12,7,7,5,0,3,7,14,3,0,21,5,28,2,1,7,4,12,5,6,0,13,13,44,4,1,18,0,4,9,129,8,20,1,30,35,21,4,10,9,1,79,0,2,15,52,2,4,4,12
CELL0281,3,0,7,3,9,3,2,1,4,11,5,5,9,0,13,3,11,7,9,19,6,1,3,4,2,3,23,5,2,14,0,2,0,1,6,1,3,4,0,4,3,2,3,28,5,3,2,3,2,7,34,2,6,3,1,1,24,2,1,19,4,1,4,11,1,7,13,5,2,3,4,0,2,18,24,0,1,3,0,19
CELL0282,9,3,7,15,28,0,7,4,5,5,7,1,45,4,13,3,2,3,1,1,2,3,10,26,0,12,12,0,15,3,0,1,20,1,1,8,96,7,3,5,8,5,2,4,13,1,1,1,10,5,5,0,1,6,2,2,4,4,2,3,3,4,18,11,2,0,1,7,0,3,1,0,9,4,0,0,3,9,4,2
CELL0283,7,2,7,12,36,1,4,3,11,2,15,8,36,6,7,5,1,8,1,2,1,7,13,28,1,20,10,2,19,1,0,2,35,1,0,19,119,3,3,1,7,5,3,7,6,0,3,8,9,7,7,0,6,9,10,4,4,6,0,3,15,10,16,15,1,3,1,4,1,4,3,0,7,5,1,0,1,18,1,1
CELL0284,4,3,6,11,8,2,4,2,8,8,10,5,14,1,7,1,20,8,8,30,1,0,10,6,11,7,30,3,5,12,2,4,0,7,9,7,3,3,1,1,0,4,6,35,5,2,3,4,0,13,36,0,6,7,1,3,18,2,2,19,8,4,7,8,2,6,24,8,5,4,7,0,1,18,21,2,3,1,3,19
CELL0285,4,3,6,14,35,0,20,2,11,10,8,8,40,3,15,4,0,4,3,1,2,3,18,30,1,11,12,0,15,6,3,1,35,0,1,25,139,10,2,1,11,12,2,5,10,0,0,1,8,4,5,1,2,9,12,3,2,8,8,2,9,2,19,9,3,1,2,2,0,3,6,0,13,10,1,0,9,14,2,2
CELL0286,4,3,6,14,43,1,7,2,8,3,10,5,38,6,17,9,0,4,1,0,1,3,11,32,0,14,7,0,19,1,1,2,32,2,1,18,117,16,1,1,9,8,1,2,7,0,2,3,6,3,5,3,2,8,8,4,3,5,4,4,4,9,14,10,2,2,9,4,2,5,5,0,13,5,3,0,7,17,3,2
CELL0287,7,2,17,16,9,4,3,3,8,15,9,7,1,3,6,3,1,4,1,5,5,3,15,7,2,9,4,4,3,0,8,4,6,1,0,1,0,3,2,0,12,2,18,1,0,3,0,10,3,6,0,11,6,23,3,4,14,1,1,4,65,2,7,0,22,22,12,2,7,3,2,58,1,0,12,42,1,2,9,9
CELL0288,0,2,8,3,7,1,1,2,7,7,11,4,16,2,16,0,15,7,8,22,3,0,8,9,8,3,22,5,6,13,1,3,1,2,3,4,1,4,0,1,3,6,4,33,6,1,5,4,2,10,35,0,2,5,4,2,13,3,3,20,2,5,4,6,5,15,21,3,4,4,3,2,5,33,28,7,4,6,2,34
CELL0289,7,6,19,35,18,13,12,5,12,21,7,10,3,15,2,7,1,2,4,19,3,4,33,18,2,16,14,3,8,6,17,5,11,4,1,1,9,8,8,1,21,4,33,2,0,11,1,14,18,12,1,17,4,44,2,8,19,1,2,10,142,8,28,0,31,45,32,3,13,4,0,103,2,1,16,69,4,3,6,15
CELL0290,3,0,7,13,41,5,8,2,8,6,7,1,41,6,15,3,1,2,1,1,2,0,11,24,1,17,6,0,10,1,1,0,27,0,0,9,102,8,3,1,12,7,8,1,7,2,0,2,9,4,4,0,1,8,2,8,4,12,5,3,9,4,11,13,2,1,3,2,0,0,4,0,6,2,2,0,4,15,1,2
CELL0291,1,1,4,7,7,0,1,2,5,6,5,2,15,1,2,2,9,8,11,15,8,0,7,2,4,2,21,6,4,10,0,3,1,0,7,8,0,2,1,0,1,4,4,15,1,2,3,3,0,6,17,1,3,3,3,1,12,3,0,20,1,3,5,6,1,5,18,8,2,3,4,0,2,18,22,2,2,3,4,17
CELL0292,19,18,2,7,2,14,11,0,17,7,0,9,3,0,0,2,3,3,8,1,0,0,0,6,2,0,9,27,1,22,0,11,2,3,3,3,1,3,6,2,15,13,0,0,1,4,4,7,0,13,24,16,9,4,1,2,5,1,13,3,0,10,0,3,4,1,0,3,6,1,15,22,0,1,2,17,0,17,3,0
CELL0293,8,5,8,6,38,1,7,1,6,2,7,3,42,7,19,4,2,3,4,1,4,5,9,19,0,12,12,0,10,3,0,2,22,1,0,17,98,3,2,4,7,4,3,0,9,0,0,1,7,2,5,1,1,4,4,1,1,7,1,3,4,3,13,12,0,2,1,4,1,3,2,0,7,8,0,1,1,21,1,0
CELL0294,3,4,5,5,9,0,2,3,3,8,5,3,10,2,10,0,18,8,5,18,3,1,12,4,2,2,24,3,7,12,0,3,0,3,2,4,0,0,2,2,1,3,2,30,4,2,0,2,0,11,18,1,8,6,3,1,23,1,0,10,4,4,4,7,3,7,13,4,2,1,6,0,5,18,16,5,3,2,1,20
CELL0295,3,2,19,25,15,6,3,6,6,25,10,6,4,15,9,6,2,7,6,15,3,4,30,8,3,12,7,0,3,3,9,2,7,2,1,1,2,10,3,0,11,0,17,0,0,5,2,18,4,7,1,10,12,18,0,7,21,2,0,8,92,13,17,1,33,35,12,1,11,10,2,69,1,3,6,46,3,4,8,5
CELL0296,6,1,9,20,56,1,11,5,16,11,12,5,62,9,22,7,2,9,2,0,4,8,13,44,1,19,17,0,15,3,0,2,35,2,2,22,171,10,6,1,11,6,6,2,20,4,3,8,13,6,7,3,4,6,9,6,3,13,4,3,15,6,23,9,2,5,1,4,0,8,2,0,21,4,2,0,3,27,7,2
CELL0297,1,7,9,15,22,3,0,5,7,16,1,5,1,9,3,1,1,0,1,8,2,2,19,16,0,9,11,0,3,2,5,3,2,2,1,3,2,6,8,0,6,1,19,1,1,0,1,4,6,3,2,15,6,25,3,6,14,2,1,3,63,5,9,2,20,17,16,1,6,6,3,53,0,0,5,42,0,3,3,10
CELL0298,8,1,10,5,7,2,3,3,9,13,8,3,20,1,13,2,23,11,5,21,3,3,14,5,7,3,41,6,4,11,0,2,0,0,8,3,0,3,2,1,1,8,6,34,4,4,8,7,1,12,41,2,5,9,3,3,21,2,1,19,2,5,6,8,6,10,19,9,6,6,7,0,2,26,42,4,4,5,4,24
CELL0299,5,2,8,7,6,1,7,3,4,9,12,3,10,2,10,3,12,9,8,20,7,1,12,11,6,3,25,5,3,10,0,5,2,4,3,3,2,4,5,3,2,1,4,28,5,2,5,1,0,10,39,1,5,4,2,1,16,0,1,15,5,1,4,14,2,11,19,11,2,1,5,1,3,16,29,3,3,1,6,15
CELL0300,3,0,4,3,4,0,1,2,7,9,2,5,10,4,7,2,4,6,6,17,2,0,3,1,4,0,23,2,3,6,2,1,0,1,6,1,1,0,1,1,1,4,5,26,5,8,0,2,0,10,20,1,1,3,1,0,11,0,0,9,5,2,3,5,2,3,15,8,0,3,2,0,2,22,15,5,1,0,0,11
CELL0301,5,15,0,3,7,4,0,16,4,0,1,0,8,3,34,1,3,3,2,12,29,10,2,0,2,3,0,1,0,0,6,0,4,1,3,0,2,1,1,7,7,2,1,8,2,5,9,23,3,0,1,2,14,8,19,8,2,0,13,5,21,13,28,10,19,8,14,2,6,4,1,13,1,2,5,1,17,6,2,7
CELL0302,7,3,22,19,18,5,5,7,12,24,2,8,2,18,8,3,0,6,7,23,7,3,25,11,3,16,14,3,5,1,12,4,5,6,0,1,2,6,12,0,11,3,22,1,1,6,1,12,5,9,1,9,7,26,1,5,16,1,1,5,105,9,18,0,26,48,25,2,8,6,8,84,2,1,12,59,2,5,5,9
CELL0303,2,0,7,5,8,1,4,0,6,9,9,4,17,2,15,0,11,9,4,10,6,0,5,3,6,1,23,4,8,9,2,2,0,1,7,3,1,2,0,2,2,0,3,28,2,3,3,3,0,12,21,4,4,3,2,0,14,6,0,8,8,1,3,6,3,8,10,5,1,1,3,0,1,23,23,3,0,3,0,14
CELL0304,13,5,13,16,63,3,10,7,10,14,4,6,54,7,26,7,3,2,0,1,3,6,9,32,1,15,17,1,22,5,0,1,47,0,1,35,174,19,5,3,14,11,3,3,13,2,3,2,7,7,9,3,0,8,4,4,3,8,4,6,15,6,28,16,5,1,2,5,0,9,2,0,14,2,0,0,5,27,4,1
CELL0305,8,3,15,5,7,0,5,2,9,11,12,9,14,5,8,4,14,15,6,22,5,0,9,9,10,1,35,8,9,14,0,5,1,1,7,1,1,4,0,0,4,7,2,27,2,3,6,4,0,14,34,4,7,9,3,2,15,3,1,17,5,3,5,10,3,9,20,6,4,4,4,0,7,26,29,4,2,1,3,36
CELL0306,8,2,11,13,36,1,12,3,9,7,7,4,26,10,16,4,2,4,0,0,1,5,15,22,0,18,11,0,13,5,1,0,31,4,1,19,131,13,2,0,11,9,2,3,8,1,0,5,4,7,3,3,1,5,6,6,2,3,6,8,11,3,10,17,4,2,4,4,0,1,3,0,17,5,0,1,4,18,1,3
CELL0307,10,13,1,5,12,3,0,14,3,0,0,1,5,2,29,1,1,1,1,7,50,17,2,1,3,2,2,4,0,3,6,0,2,3,3,1,1,4,11,9,8,1,2,5,0,12,15,17,1,1,5,1,12,14,27,5,0,3,12,6,13,15,28,17,18,13,20,1,4,20,3,10,0,0,1,1,23,14,4,11
CELL0308,4,6,6,9,10,2,1,2,10,8,11,8,11,3,20,1,20,11,11,21,3,0,13,6,3,2,39,1,7,23,2,5,2,1,7,5,2,3,1,0,4,2,6,42,6,4,5,6,2,14,35,3,8,5,2,2,28,1,2,20,4,4,4,9,6,9,26,9,5,5,4,1,2,24,33,9,3,3,3,29
CELL0309,6,13,1,1,9,2,0,10,4,0,1,1,5,2,29,4,0,2,2,9,34,9,3,1,1,2,1,0,0,5,8,0,3,0,0,2,0,3,5,2,10,0,1,3,1,7,12,15,1,2,0,3,10,4,15,3,1,1,8,7,17,10,27,12,18,9,16,2,2,11,4,16,3,3,0,0,21,13,1,8
CELL0310,3,0,5,5,4,0,3,1,0,6,6,3,8,0,7,1,11,8,6,18,2,0,5,2,4,1,18,2,5,10,0,5,0,1,5,1,0,2,0,1,1,3,0,19,1,2,3,1,0,9,22,0,3,4,2,0,14,2,0,11,6,3,6,10,4,6,13,4,2,7,2,1,3,11,17,3,1,5,0,12
CELL0311,2,3,14,13,12,6,1,3,9,15,4,14,1,8,1,3,0,2,1,12,5,0,17,8,2,8,3,3,3,3,10,1,2,0,1,0,1,4,7,0,12,2,25,0,0,2,2,8,6,6,2,7,4,13,1,1,13,2,1,3,66,7,9,1,7,23,15,0,4,3,0,38,2,0,4,36,2,4,3,7
CELL0312,12,6,18,21,11,4,3,4,9,17,4,9,3,8,5,6,1,2,7,11,5,5,18,7,3,10,9,3,4,2,7,3,3,3,0,0,3,6,5,0,8,1,22,2,1,3,1,8,9,10,1,6,5,24,2,6,18,0,0,3,85,6,8,0,34,17,19,2,1,5,2,63,0,1,7,48,0,2,3,7
CELL0313,6,8,1,2,16,4,2,26,3,1,1,0,12,0,40,2,0,7,2,14,49,15,3,0,5,3,0,4,1,7,11,0,5,1,6,2,2,4,1,2,13,1,3,9,2,9,15,15,2,0,1,2,12,12,30,5,1,2,13,13,22,18,41,18,18,11,11,0,10,14,6,12,6,0,3,0,33,20,6,15
CELL0314,1,3,8,22,32,2,14,5,12,9,6,7,35,8,28,6,1,8,1,0,6,2,8,37,1,12,8,1,19,1,1,1,37,1,1,33,132,8,7,2,12,6,3,0,6,3,4,5,8,7,7,0,3,9,6,6,1,8,4,6,7,3,19,12,3,5,2,1,0,4,1,0,12,9,1,0,5,16,2,3
CELL0315,2,1,10,14,10,1,1,0,6,12,2,2,1,3,6,4,1,2,2,10,1,1,11,9,1,7,2,0,3,2,10,6,3,0,0,0,4,4,5,0,9,0,16,0,1,7,0,6,3,8,0,5,8,14,1,3,9,1,1,1,59,5,9,0,6,13,7,2,9,3,3,42,2,0,5,23,1,2,1,5
CELL0316,3,2,7,4,7,0,2,2,1,7,6,2,12,1,5,2,7,6,6,15,4,0,10,10,3,2,18,0,7,8,0,0,1,1,7,2,1,1,0,1,1,0,1,27,3,1,3,3,0,13,20,0,3,5,2,1,11,1,1,18,4,2,2,4,1,5,13,5,1,3,5,0,5,14,21,1,1,7,3,19
CELL0317,3,4,2,12,7,1,1,2,4,8,5,5,6,0,11,1,17,3,10,20,2,1,5,2,5,3,29,3,4,6,1,3,0,0,4,3,0,2,0,1,1,4,2,30,3,2,0,2,2,10,18,1,2,3,3,0,9,5,0,12,2,3,3,11,5,6,13,8,1,1,1,0,0,13,20,2,0,5,4,21
CELL0318,4,4,2,0,10,6,0,15,2,1,0,1,1,6,28,2,1,3,2,15,21,12,1,0,1,3,0,0,0,3,2,2,1,0,3,1,2,0,2,3,6,1,0,8,1,4,13,21,1,0,3,2,7,10,13,2,1,1,10,6,11,16,25,10,17,14,13,1,4,9,3,9,1,2,5,1,17,8,2,7
CELL0319,7,2,10,21,17,4,4,3,6,16,4,10,4,9,4,2,2,3,4,9,3,2,21,9,5,8,8,5,3,2,10,2,6,2,1,2,3,8,4,0,14,3,17,1,0,3,0,11,8,4,0,9,8,24,2,5,15,0,2,5,83,11,19,1,23,28,20,0,8,1,3,70,0,1,12,51,0,4,3,10
CELL0320,5,2,17,16,17,8,2,3,8,30,7,6,4,5,11,6,0,3,2,19,3,3,27,18,4,5,9,7,7,1,8,3,3,1,0,2,1,6,4,0,12,1,18,0,1,6,1,8,4,6,3,13,4,20,1,3,18,3,1,6,100,11,14,0,28,26,14,1,7,9,0,70,3,4,16,61,3,4,2,10
CELL0321,20,14,0,7,7,13,10,0,10,4,0,7,2,1,1,1,8,2,4,1,1,3,3,7,1,4,13,21,0,27,1,14,4,5,2,1,3,3,5,3,16,9,1,2,3,3,3,6,2,18,19,12,9,3,3,2,1,3,13,5,0,9,2,0,8,0,1,5,11,1,10,13,0,3,1,12,2,18,6,2
