"","Drug01","Drug02","Drug03","Drug04","Drug05","Drug06","Drug07","Drug08","Drug09","Drug10","Drug11","Drug12","Drug13","Drug14","Drug15","Drug16","Drug17","Drug18","Drug19","Drug20"
"G370",-0.9107,0.0643,0.1114,1.4405,0.1538,1.8221,0.5064,0.6587,-2.1991,-1.5558,0.5785,-0.976,0.5947,-0.5226,-0.839,-1.3474,0.665,-2.5569,0.8676,1.6446
"G371",0.237,0.9012,-0.6647,-0.6633,-0.1956,-0.4473,-0.3845,-0.732,-1.2216,0.7926,-0.8749,-0.2991,0.609,1.3456,-0.7662,-1.8548,0.6098,-0.8672,-0.2434,0.4362
"G372",0.4313,-0.031,-0.2833,-0.6524,-0.2193,-0.2287,-0.8053,1.137,0.7306,0.8554,-2.2232,1.5103,-1.3523,0.3639,0.7609,0.4225,1.5465,-1.8046,-0.036,-0.9613
"G373",0.1883,-0.1564,-0.6133,0.1292,1.6444,1.488,0.5475,-0.3417,1.1489,-0.8093,-0.2035,-1.2242,-1.2487,-0.0044,0.1507,0.3246,-0.917,2.0569,-1.3529,0.2477
"G374",0.2475,1.3669,1.096,-0.1652,-0.1992,1.709,1.0562,1.4067,0.6279,0.3391,-0.048,0.451,1.1445,0.6281,-1.1312,-0.0898,0.6047,-0.2836,0.7946,1.9319
"G375",-1.2203,0.7391,1.1018,0.8967,1.2246,-0.7232,0.1668,-0.6754,0.6165,3.1994,-0.6569,-0.637,-0.4547,0.8483,0.5394,-0.7429,1.0273,-1.098,-2.2767,1.9766
"G376",-0.9248,-0.4188,-0.8077,-0.6769,0.4626,-0.259,-0.0156,0.1895,0.0605,0.7249,0.9115,-0.7435,-0.1602,0.3034,1.0238,-1.3712,-0.4951,-2.6065,0.914,0.434
"G377",-0.4163,0.7212,0.4574,-0.6212,0.0427,-0.5177,1.3369,0.2486,-0.1003,0.1568,-0.978,-0.5511,0.3156,-0.6209,-0.4952,0.3662,0.5174,-0.8985,-2.149,1.0986
"G378",-0.8382,-2.1258,-0.6081,-1.3728,-0.8824,0.0976,0.2429,-0.4628,-2.4849,-0.0666,-0.7053,-1.6476,2.2543,-0.2868,1.134,0.04,-1.564,-0.119,-1.355,2.1786
"G379",-0.0363,0.1256,0.6935,-0.1887,0.7348,0.2055,0.0203,-0.9501,-0.6004,-1.12,1.4427,-0.558,0.6253,-1.8228,0.68,1.8083,0.9279,0.3613,-0.2958,-1.5542
"G380",0.0831,0.3269,-0.8342,0.0224,0.6213,1.4865,2.0834,1.0677,-0.3342,-0.7708,1.6782,1.0243,-0.7921,1.3277,-0.4035,-0.2197,0.1253,-0.087,1.1354,0.6195
"G381",-1.0124,0.0305,0.2663,-0.4489,0.5841,-0.9385,0.4597,0.1492,0.4212,-0.6726,-1.2598,0.7882,0.8016,-1.6038,0.2027,1.1389,0.9065,-2.2741,-1.0738,0.093
"G382",-0.4139,0.7273,-0.4072,-1.4312,-0.677,-1.0034,0.2742,-0.1502,1.0587,2.0948,1.4087,-1.0666,0.3959,0.343,-0.9248,-3.1134,-0.6565,2.1397,-0.6747,0.2518
"G383",-0.0503,0.3152,0.2033,-1.1945,-0.5054,-0.1831,0.1123,0.9366,-1.2347,-0.9305,-0.5047,0.1766,-0.1535,-0.452,0.2146,0.3378,-0.2408,-0.7742,-0.1978,0.754
"G384",-1.6782,0.299,2.3669,-1.6985,0.0099,1.5604,1.304,-0.8759,-0.7465,-0.1115,1.2406,-0.0958,0.7612,-0.6099,0.0401,0.9031,-0.8594,0.0842,-0.0288,2.1057
"G385",0.6296,0.8814,-0.5215,1.0549,-0.4259,0.2842,-0.3055,-0.7433,1.4307,1.2056,-0.8392,-0.6289,-0.9407,0.1623,-0.9577,0.2381,0.1254,-0.8822,-1.1509,1.3531
"G386",0.7396,-0.4152,-1.4929,0.9936,0.7491,-1.5707,-0.8852,0.4744,0.4792,0.1039,0.6705,0.3007,0.3897,-1.1146,0.3126,1.3463,0.1861,-0.0388,-0.5398,0.9233
"G387",0.0821,-0.7218,1.2483,-1.914,0.4192,-0.1297,-0.4548,-0.4431,-0.6867,0.9272,1.006,-1.7782,1.1398,-0.8786,0.0072,0.0231,-1.5103,-1.5914,-2.4789,-1.2835
"G388",0.4682,0.2726,-2.3962,0.2342,-0.0069,0.7143,2.0333,0.7346,1.1957,1.5387,-0.5743,-0.5797,-0.2569,0.1409,-1.2426,-0.9715,-0.8797,0.7114,-0.347,0.183
"G389",0.0912,-0.4239,-0.6218,-1.0558,0.5955,-0.9581,-1.7969,-0.7591,-0.7254,0.5216,1.0823,-0.5172,-0.6915,1.0125,-2.8824,-0.9741,0.6993,-0.7374,0.5739,-0.6288
"G390",0.1313,-0.0108,0.1742,-1.7423,-0.6702,-0.6619,0.1743,0.3282,1.6171,-0.6912,0.7468,0.7305,0.4139,0.0765,-0.2135,-1.0542,-1.1032,-0.0158,-2.3466,1.1998
"G391",2.2319,-0.7018,2.2994,0.8973,0.1871,1.7456,0.5046,-0.6549,-0.2185,-0.9374,-0.0758,-1.9071,2.3994,-0.0138,-0.0078,1.6422,-0.531,-0.7061,0.9258,-0.5778
"G392",1.3584,-0.761,1.3639,1.3292,0.2706,-0.03,-0.6994,1.364,-1.9326,-0.8234,-1.1331,-0.1591,0.0715,1.0288,-0.5563,0.9121,0.2092,-0.139,0.024,-0.2051
"G393",-0.6773,-0.0905,1.5999,0.029,-2.0584,0.8878,0.444,1.7585,0.71,-0.5872,-0.1414,-2.3645,0.3038,0.6777,-0.0314,-0.0487,-0.6798,0.6263,1.7721,-0.8642
"G394",-0.5119,0.1656,0.1734,-0.5737,1.0355,-0.0016,-0.2805,0.3957,1.2603,-0.2071,0.5595,0.6699,1.6708,0.3018,0.3625,-0.6213,1.5483,-0.1265,-0.5288,1.7339
"G395",-0.5326,1.4908,0.6675,-0.6162,-0.4972,0.637,-1.0599,1.1393,0.1692,0.3541,0.4225,-0.0564,-0.4139,-1.9328,0.3646,0.1573,-2.34,0.8809,-0.1875,-0.4353
"G396",0.3723,-1.4368,-0.2035,-2.0683,-0.3526,-0.6585,-1.5528,1.4253,1.5706,0.0691,0.423,0.3541,0.5303,-0.3076,-0.6669,0.8517,1.3376,-0.9436,-0.6522,1.3549
"G397",0.3092,-1.1935,1.3305,-0.9184,-1.5018,1.1316,1.2837,-0.1561,-0.0997,-0.9735,-0.6879,0.5957,2.3055,1.3222,-0.0155,1.3723,-0.0832,0.0254,1.2792,0.2162
"G398",0.8219,0.9446,0.8763,-2.3025,0.1636,0.4087,0.2684,0.3784,1.5892,-1.4532,0.1895,0.5939,1.208,0.702,-0.4925,0.8861,0.146,-0.1737,1.0369,-1.3117
"G399",0.5986,0.826,0.2014,0.1457,-0.0723,-0.4464,0.0433,1.7181,0.1197,-0.1036,0.2082,-1.1389,-1.0151,-1.4676,0.3735,0.8843,-2.0753,0.4395,0.7101,-0.8818
"G400",0.1177,-0.6728,-0.7629,-0.7091,-0.1495,1.2161,0.5371,1.1577,0.0135,0.114,0.128,0.8599,-0.2015,0.747,-0.0892,0.8194,0.5534,-0.1553,-1.1642,0.6197
